epoch	V	E	b1H	b1S	label	d_cal	npts
25	24	45	22	16	SW	nan	1
50	56	109	54	45	SW	nan	1
75	87	171	85	65	SW	nan	1
100	117	231	115	85	SW	nan	1
125	150	297	148	106	SW	nan	2
150	174	345	172	123	SW	nan	2
175	197	391	195	122	SW	nan	2
200	202	401	200	104	SW	nan	2
225	161	319	159	91	SW	nan	2
250	173	343	171	123	SW	nan	2
275	177	351	175	122	SW	nan	3
300	186	369	184	133	SW	nan	2
325	231	459	229	172	SW	nan	3
350	271	539	269	200	SW	nan	3
375	288	573	286	194	SW	nan	2
400	281	558	278	182	SW	nan	3
425	270	537	268	170	SW	nan	2
450	271	539	269	153	SW	nan	2
475	288	573	286	163	SW	nan	2
500	241	479	239	148	SW	nan	3
525	218	433	216	153	SW	nan	3
550	228	452	225	164	SW	nan	2
575	249	495	247	176	SW	nan	2
600	256	509	254	183	SW	nan	3
625	231	458	228	148	SW	nan	3
650	192	381	190	138	SW	nan	2
675	221	439	219	145	SW	nan	2
700	199	393	195	137	SW	nan	3
725	177	349	173	121	SW	nan	2
750	173	342	170	115	SW	nan	1
775	171	339	169	118	SW	nan	2
800	188	373	186	129	SW	nan	2
825	205	407	203	107	SW	nan	3
850	156	309	154	109	SW	nan	2
875	185	367	183	127	SW	nan	2
900	173	343	171	123	SW	nan	2
