epoch	V	E	b1H	b1S	label	d_cal	npts
25	13	23	11	7	SW	nan	1
50	29	55	27	19	SW	nan	1
75	59	115	57	28	SW	nan	1
100	80	157	78	45	SW	nan	1
125	109	215	107	62	SW	nan	1
150	131	259	129	67	SW	nan	2
175	152	301	150	70	SW	nan	2
200	162	320	159	73	SW	nan	3
225	160	316	157	63	SW	nan	2
250	161	319	159	75	SW	nan	2
275	153	303	151	69	SW	nan	2
300	169	335	167	82	SW	nan	2
325	173	343	171	92	SW	nan	2
350	189	375	187	88	SW	nan	3
375	179	355	177	89	SW	nan	2
400	178	353	176	90	SW	nan	2
425	185	367	183	84	SW	nan	2
450	183	363	181	81	SW	nan	2
475	166	329	164	72	SW	nan	1
500	170	337	168	70	SW	nan	2
525	147	291	145	67	SW	nan	1
550	135	267	133	68	SW	nan	2
575	136	269	134	72	SW	nan	2
600	132	261	130	78	SW	nan	2
625	133	263	131	78	SW	nan	2
650	123	243	121	70	SW	nan	1
675	137	271	135	76	SW	nan	2
700	127	251	125	61	SW	nan	1
725	125	247	123	63	SW	nan	2
750	135	267	133	64	SW	nan	2
775	124	245	122	63	SW	nan	2
800	136	269	134	63	SW	nan	2
825	124	245	122	61	SW	nan	2
850	136	269	134	68	SW	nan	2
875	131	259	129	56	SW	nan	2
900	119	235	117	57	SW	nan	1
