epoch	V	E	b1H	b1S	label	d_cal	npts
25	32	61	30	24	SW	nan	1
50	57	111	55	43	SW	nan	1
75	90	177	88	69	SW	nan	1
100	111	219	109	90	SW	nan	1
125	185	367	183	148	SW	nan	1
150	321	639	319	255	SW	nan	1
175	441	879	439	332	SW	nan	1
200	459	915	457	347	SW	nan	1
225	490	977	488	369	SW	nan	2
250	542	1081	540	390	SW	nan	2
275	568	1132	565	360	SW	nan	2
300	585	1161	577	264	SW	nan	2
325	598	1186	589	213	SW	nan	2
350	625	1223	599	245	SW	nan	3
375	629	1188	560	252	SW	nan	3
400	623	1162	540	266	SW	nan	3
425	664	1240	577	321	SW	nan	2
450	667	1233	567	315	SW	nan	3
475	676	1238	563	318	SW	nan	3
500	680	1233	554	304	SW	nan	3
525	699	1253	555	296	SW	nan	2
550	686	1216	531	258	SW	nan	3
575	709	1268	560	280	SW	nan	2
600	737	1309	573	306	SW	nan	3
625	732	1301	570	283	SW	nan	3
650	699	1251	553	261	SW	nan	3
675	668	1179	512	232	SW	nan	3
700	645	1140	496	207	SW	nan	3
725	496	855	360	150	SW	nan	3
750	489	857	369	147	SW	nan	3
775	457	790	334	132	METR	3.202664503828289	4
800	421	728	308	146	METR	1.9632007903769833	4
825	431	745	315	156	FRAG	nan	3
850	430	744	315	167	FRAG	nan	1
875	324	594	271	160	FRAG	nan	1
900	340	621	282	149	FRAG	nan	1
