epoch	V	E	b1H	b1S	label	d_cal	npts
25	28	53	26	19	SW	nan	1
50	72	141	70	51	SW	nan	1
75	108	213	106	75	SW	nan	1
100	164	325	162	134	SW	nan	1
125	256	509	254	191	SW	nan	2
150	305	607	303	241	SW	nan	2
175	343	683	341	285	SW	nan	3
200	361	719	359	296	SW	nan	2
225	446	889	444	354	SW	nan	3
250	471	939	469	364	SW	nan	2
275	517	1031	515	377	SW	nan	3
300	534	1062	529	373	SW	nan	3
325	571	1133	563	396	SW	nan	3
350	615	1218	604	421	SW	nan	3
375	615	1217	603	409	SW	nan	3
400	614	1215	602	394	SW	nan	3
425	631	1242	612	398	SW	nan	3
450	601	1179	579	397	SW	nan	3
475	587	1143	557	350	SW	nan	3
500	585	1129	545	342	METR	2.9711449977121838	4
525	595	1146	552	336	METR	4.242363430308162	4
550	559	1076	518	329	SW	nan	3
575	547	1045	499	323	SW	nan	3
600	553	1055	503	342	METR	3.913994807615199	4
625	602	1147	546	363	METR	3.560546279073721	4
650	648	1238	591	382	METR	3.894070339481597	4
675	773	1480	708	474	METR	3.8800880072154897	4
700	768	1461	694	477	METR	3.9592878843325123	4
725	733	1391	659	463	SW	nan	3
750	707	1347	641	437	SW	nan	3
775	679	1289	611	399	SW	nan	3
800	644	1210	567	330	METR	4.061194244361719	4
825	568	1058	491	250	SW	nan	3
850	469	864	396	209	METR	3.7668543194505406	4
875	382	693	312	172	METR	3.051362551610522	6
900	356	646	291	165	METR	2.7596948189595514	5
