epoch	V	E	b1H	b1S	label	d_cal	npts
25	23	43	21	10	SW	nan	1
50	50	97	48	25	SW	nan	1
75	72	141	70	36	SW	nan	1
100	97	191	95	50	SW	nan	1
125	117	231	115	62	SW	nan	1
150	131	259	129	66	SW	nan	1
175	134	265	132	67	SW	nan	2
200	120	237	118	57	SW	nan	2
225	108	212	105	53	SW	nan	2
250	112	220	109	56	SW	nan	2
275	112	221	110	55	SW	nan	2
300	110	217	108	58	SW	nan	2
325	107	211	105	57	SW	nan	1
350	108	212	105	63	SW	nan	2
375	106	209	104	58	SW	nan	2
400	101	199	99	50	SW	nan	2
425	86	169	84	47	SW	nan	1
450	84	164	81	48	SW	nan	1
475	91	179	89	53	SW	nan	1
500	89	175	87	47	SW	nan	1
525	100	197	98	57	SW	nan	2
550	115	227	113	69	SW	nan	2
575	108	213	106	64	SW	nan	1
600	107	211	105	61	SW	nan	1
625	106	209	104	61	SW	nan	1
650	114	225	112	58	SW	nan	2
675	119	234	116	55	SW	nan	2
700	118	232	115	58	SW	nan	2
725	125	247	123	64	SW	nan	1
750	122	241	120	61	SW	nan	1
775	127	251	125	69	SW	nan	1
800	138	273	136	75	SW	nan	2
825	136	269	134	72	SW	nan	2
850	123	243	121	64	SW	nan	1
875	116	229	114	69	SW	nan	2
900	130	257	128	75	SW	nan	2
