epoch	V	E	b1H	b1S	label	d_cal	npts
25	9	15	7	3	SW	nan	0
50	22	41	20	13	SW	nan	1
75	34	65	32	22	SW	nan	1
100	56	109	54	33	SW	nan	1
125	77	151	75	43	SW	nan	2
150	92	181	90	50	SW	nan	1
175	102	201	100	56	SW	nan	1
200	115	227	113	51	SW	nan	2
225	140	277	138	65	SW	nan	2
250	131	259	129	58	SW	nan	1
275	129	253	125	64	SW	nan	1
300	146	288	143	71	SW	nan	2
325	150	297	148	69	SW	nan	2
350	149	295	147	70	SW	nan	1
375	136	269	134	61	SW	nan	1
400	116	229	114	52	SW	nan	1
425	115	227	113	54	SW	nan	2
450	118	233	116	52	SW	nan	2
475	103	203	101	55	SW	nan	1
500	101	199	99	54	SW	nan	1
525	105	207	103	50	SW	nan	2
550	107	211	105	51	SW	nan	1
575	123	243	121	55	SW	nan	3
600	116	229	114	53	SW	nan	2
625	108	213	106	51	SW	nan	2
650	107	211	105	52	SW	nan	1
675	112	221	110	67	SW	nan	2
700	117	231	115	70	SW	nan	2
725	116	229	114	63	SW	nan	2
750	102	201	100	59	SW	nan	1
775	97	191	95	57	SW	nan	1
800	115	227	113	65	SW	nan	2
825	108	213	106	56	SW	nan	2
850	126	249	124	62	SW	nan	2
875	124	245	122	71	SW	nan	1
900	155	307	153	84	SW	nan	2
