epoch	V	E	b1H	b1S	label	d_cal	npts
25	39	75	37	24	SW	nan	1
50	74	145	72	56	SW	nan	1
75	100	197	98	74	SW	nan	1
100	121	239	119	87	SW	nan	2
125	149	295	147	105	SW	nan	2
150	185	367	183	134	SW	nan	2
175	219	435	217	129	SW	nan	2
200	179	354	176	118	SW	nan	2
225	184	365	182	114	SW	nan	2
250	161	319	159	109	SW	nan	2
275	183	363	181	121	SW	nan	2
300	188	373	186	109	SW	nan	2
325	166	329	164	108	SW	nan	2
350	172	341	170	122	SW	nan	2
375	174	344	171	126	SW	nan	2
400	175	347	173	122	SW	nan	2
425	161	319	159	115	SW	nan	1
450	159	315	157	100	SW	nan	2
475	140	276	137	85	SW	nan	2
500	170	337	168	91	SW	nan	3
525	214	425	212	134	SW	nan	3
550	215	427	213	139	SW	nan	2
575	213	423	211	138	SW	nan	2
600	213	423	211	139	SW	nan	1
625	226	449	224	148	SW	nan	2
650	216	429	214	132	SW	nan	2
675	220	437	218	121	SW	nan	3
700	183	363	181	126	SW	nan	2
725	191	379	189	130	SW	nan	2
750	198	393	196	124	SW	nan	2
775	199	395	197	118	SW	nan	2
800	207	411	205	124	SW	nan	2
825	204	405	202	120	SW	nan	3
850	158	313	156	112	SW	nan	1
875	169	335	167	123	SW	nan	3
900	214	425	212	154	SW	nan	2
