epoch	V	E	b1H	b1S	label	d_cal	npts
25	25	47	23	17	SW	nan	1
50	79	155	77	58	SW	nan	1
75	130	257	128	104	SW	nan	1
100	149	295	147	121	SW	nan	1
125	159	315	157	131	SW	nan	1
150	221	439	219	171	SW	nan	2
175	239	475	237	194	SW	nan	2
200	243	483	241	188	SW	nan	2
225	280	557	278	211	SW	nan	3
250	414	825	412	301	SW	nan	3
275	513	1023	511	381	SW	nan	3
300	571	1139	569	426	SW	nan	2
325	617	1231	615	456	SW	nan	2
350	629	1253	625	485	SW	nan	3
375	630	1253	624	474	SW	nan	2
400	666	1326	661	469	SW	nan	3
425	750	1488	739	502	METR	4.353700973545683	4
450	780	1545	766	517	METR	4.349419161048981	4
475	738	1454	717	468	SW	nan	3
500	735	1440	706	457	METR	4.3245387908636115	4
525	746	1450	705	478	METR	3.358690107843409	4
550	740	1444	705	460	SW	nan	3
575	723	1404	682	432	SW	nan	3
600	711	1373	663	417	METR	3.9534439214665524	4
625	682	1310	629	377	METR	4.125885082357186	4
650	624	1179	556	317	SW	nan	3
675	549	1012	464	262	METR	4.193576815207274	4
700	502	909	408	236	METR	3.806266606091745	4
725	498	895	398	233	METR	3.4039692893867795	4
750	453	810	358	211	METR	4.25857736416736	4
775	403	714	312	189	SW	nan	3
800	366	642	277	174	METR	3.7979122463285937	4
825	336	583	248	155	SW	nan	3
850	302	517	216	128	METR	2.7797870129152926	4
875	251	421	171	100	SW	nan	3
900	206	339	134	85	SW	nan	3
