epoch	V	E	b1H	b1S	label	d_cal	npts
25	28	53	26	18	SW	nan	1
50	46	89	44	37	SW	nan	1
75	85	167	83	72	SW	nan	1
100	123	243	121	98	SW	nan	1
125	161	319	159	128	SW	nan	1
150	174	345	172	144	SW	nan	1
175	193	383	191	163	SW	nan	2
200	255	507	253	205	SW	nan	2
225	269	535	267	211	SW	nan	2
250	298	593	296	239	SW	nan	2
275	316	628	313	247	SW	nan	2
300	326	646	321	258	SW	nan	2
325	342	677	336	263	SW	nan	2
350	421	837	417	314	SW	nan	3
375	497	989	493	351	SW	nan	3
400	519	1032	514	358	SW	nan	2
425	545	1083	539	386	SW	nan	2
450	603	1191	589	428	SW	nan	3
475	659	1301	643	465	METR	3.889415493007452	4
500	689	1356	668	468	METR	3.3771644484195287	4
525	739	1449	711	479	METR	3.2367064459852957	4
550	734	1431	698	482	METR	4.659608618991641	4
575	716	1391	676	472	METR	4.30764940741373	4
600	740	1433	694	454	METR	4.134399629709568	4
625	768	1487	720	451	METR	3.474050441011208	4
650	786	1513	728	450	METR	3.5771185690003007	5
675	890	1708	819	507	METR	3.5772373246910245	5
700	864	1655	792	517	METR	3.810070136588647	5
725	820	1546	727	488	METR	3.9840283931401363	4
750	787	1489	703	466	METR	3.4773881474235457	5
775	803	1515	713	464	METR	3.8070926139568795	5
800	763	1429	667	399	METR	3.5846300769278647	5
825	705	1304	600	332	METR	3.3374613322902764	5
850	668	1220	553	322	METR	3.116157989602784	5
875	607	1098	492	299	METR	3.243785084609356	5
900	552	996	445	263	METR	2.8335436753821543	5
