epoch	V	E	b1H	b1S	label	d_cal	npts
25	18	33	16	9	SW	nan	1
50	36	69	34	27	SW	nan	1
75	55	107	53	42	SW	nan	1
100	72	141	70	52	SW	nan	1
125	117	231	115	81	SW	nan	2
150	143	283	141	103	SW	nan	2
175	152	301	150	105	SW	nan	2
200	147	291	145	106	SW	nan	1
225	153	303	151	107	SW	nan	2
250	147	291	145	108	SW	nan	2
275	166	329	164	101	SW	nan	2
300	182	361	180	128	SW	nan	3
325	208	413	206	146	SW	nan	3
350	230	456	227	166	SW	nan	2
375	241	479	239	182	SW	nan	2
400	270	537	268	199	SW	nan	2
425	252	501	250	169	SW	nan	2
450	217	429	213	141	SW	nan	2
475	233	463	231	160	SW	nan	2
500	221	438	218	154	SW	nan	3
525	222	441	220	151	SW	nan	3
550	234	465	232	151	SW	nan	2
575	220	437	218	159	SW	nan	2
600	232	461	230	151	SW	nan	2
625	279	555	277	186	SW	nan	2
650	237	470	234	163	SW	nan	2
675	231	459	229	155	SW	nan	3
700	241	479	239	168	SW	nan	2
725	227	451	225	161	SW	nan	2
750	264	525	262	173	SW	nan	3
775	251	497	247	153	SW	nan	2
800	222	440	219	167	SW	nan	2
825	238	473	236	159	SW	nan	3
850	203	403	201	140	SW	nan	2
875	219	435	217	160	SW	nan	2
900	237	471	235	150	SW	nan	2
