epoch	V	E	b1H	b1S	label	d_cal	npts
25	35	67	33	25	SW	nan	1
50	60	117	58	43	SW	nan	1
75	80	157	78	60	SW	nan	1
100	103	203	101	76	SW	nan	1
125	120	237	118	89	SW	nan	2
150	168	333	166	124	SW	nan	2
175	224	445	222	160	SW	nan	3
200	219	435	217	150	SW	nan	2
225	222	441	220	159	SW	nan	2
250	251	498	248	188	SW	nan	2
275	270	537	268	192	SW	nan	2
300	283	563	281	181	SW	nan	3
325	273	543	271	160	SW	nan	2
350	223	443	221	158	SW	nan	2
375	237	471	235	150	SW	nan	3
400	211	419	209	128	SW	nan	3
425	219	435	217	140	SW	nan	2
450	221	439	219	138	SW	nan	3
475	219	435	217	136	SW	nan	3
500	195	387	193	134	SW	nan	1
525	182	361	180	127	SW	nan	1
550	165	327	163	118	SW	nan	2
575	151	299	149	108	SW	nan	2
600	155	307	153	94	SW	nan	2
625	144	285	142	94	SW	nan	3
650	174	345	172	127	SW	nan	3
675	184	365	182	129	SW	nan	2
700	180	357	178	124	SW	nan	2
725	189	375	187	131	SW	nan	1
750	225	447	223	156	SW	nan	2
775	231	459	229	146	SW	nan	3
800	212	421	210	139	SW	nan	2
825	185	367	183	136	SW	nan	2
850	184	365	182	136	SW	nan	2
875	182	361	180	117	SW	nan	2
900	138	272	135	98	SW	nan	2
