epoch	V	E	b1H	b1S	label	d_cal	npts
25	30	57	28	19	SW	nan	1
50	89	175	87	63	SW	nan	1
75	157	311	155	115	SW	nan	1
100	210	417	208	164	SW	nan	1
125	235	467	233	194	SW	nan	2
150	345	687	343	272	SW	nan	2
175	382	761	380	304	SW	nan	2
200	413	823	411	312	SW	nan	3
225	456	908	453	286	SW	nan	3
250	470	937	468	280	SW	nan	3
275	513	1023	511	288	SW	nan	3
300	536	1062	527	245	SW	nan	3
325	547	1075	529	220	SW	nan	3
350	563	1101	539	199	SW	nan	3
375	541	1044	504	196	SW	nan	2
400	557	1059	503	206	SW	nan	3
425	584	1085	502	231	METR	2.0936173630897192	4
450	558	1020	463	222	METR	1.6681632071612875	4
475	535	980	446	209	SW	nan	2
500	496	886	391	184	SW	nan	3
525	494	869	376	171	SW	nan	3
550	504	884	381	141	SW	nan	2
575	488	840	353	117	SW	nan	3
600	482	827	346	124	SW	nan	2
625	423	711	289	115	SW	nan	3
650	388	643	256	118	SW	nan	3
675	377	635	259	108	METR	0.5421922966906747	5
700	331	554	224	101	SW	nan	1
725	276	479	204	103	SW	nan	1
750	296	521	226	107	SW	nan	3
775	311	549	239	117	SW	nan	2
800	341	606	266	132	SW	nan	2
825	345	612	268	131	SW	nan	3
850	358	639	282	129	SW	nan	3
875	363	647	285	128	SW	nan	2
900	370	659	290	141	SW	nan	2
