epoch	V	E	b1H	b1S	label	d_cal	npts
25	22	41	20	11	SW	nan	1
50	37	71	35	18	SW	nan	1
75	54	105	52	27	SW	nan	1
100	66	129	64	35	SW	nan	1
125	74	145	72	41	SW	nan	1
150	103	203	101	42	SW	nan	2
175	106	209	104	49	SW	nan	1
200	99	195	97	45	SW	nan	1
225	100	197	98	52	SW	nan	1
250	110	217	108	50	SW	nan	1
275	122	241	120	54	SW	nan	2
300	116	229	114	51	SW	nan	1
325	112	221	110	58	SW	nan	1
350	111	219	109	53	SW	nan	1
375	108	212	105	52	SW	nan	2
400	110	217	108	52	SW	nan	2
425	108	212	105	56	SW	nan	2
450	107	211	105	51	SW	nan	1
475	103	202	100	52	SW	nan	1
500	109	215	107	56	SW	nan	2
525	110	217	108	56	SW	nan	2
550	129	255	127	64	SW	nan	3
575	127	251	125	65	SW	nan	2
600	124	245	122	73	SW	nan	2
625	132	261	130	76	SW	nan	1
650	159	315	157	86	SW	nan	2
675	155	307	153	78	SW	nan	2
700	148	293	146	73	SW	nan	1
725	118	233	116	63	SW	nan	1
750	119	235	117	63	SW	nan	2
775	123	243	121	58	SW	nan	2
800	107	211	105	45	SW	nan	2
825	114	225	112	60	SW	nan	2
850	117	231	115	64	SW	nan	2
875	135	267	133	71	SW	nan	2
900	140	277	138	74	SW	nan	2
