epoch	V	E	b1H	b1S	label	d_cal	npts
25	18	33	16	9	SW	nan	1
50	49	95	47	33	SW	nan	1
75	109	215	107	81	SW	nan	1
100	170	337	168	129	SW	nan	1
125	195	387	193	149	SW	nan	2
150	247	491	245	190	SW	nan	2
175	280	557	278	208	SW	nan	2
200	277	551	275	195	SW	nan	2
225	277	550	274	175	SW	nan	2
250	249	495	247	158	SW	nan	2
275	235	467	233	157	SW	nan	3
300	215	427	213	131	SW	nan	2
325	215	427	213	147	SW	nan	2
350	279	555	277	180	SW	nan	3
375	282	561	280	172	SW	nan	3
400	320	637	318	220	SW	nan	2
425	339	675	337	241	SW	nan	3
450	358	713	356	258	SW	nan	3
475	359	715	357	243	SW	nan	3
500	335	667	333	230	SW	nan	2
525	306	609	304	200	SW	nan	2
550	283	563	281	174	SW	nan	2
575	288	573	286	187	SW	nan	3
600	298	593	296	189	METR	2.7134218614242425	4
625	286	568	283	203	SW	nan	2
650	295	587	293	201	SW	nan	2
675	273	543	271	192	SW	nan	1
700	272	541	270	165	SW	nan	2
725	238	473	236	140	SW	nan	2
750	214	424	211	116	SW	nan	2
775	169	335	167	107	SW	nan	2
800	169	335	167	117	SW	nan	2
825	165	326	162	118	SW	nan	2
850	177	351	175	119	SW	nan	2
875	178	353	176	117	SW	nan	3
900	179	353	175	115	SW	nan	2
