epoch	V	E	b1H	b1S	label	d_cal	npts
25	33	63	31	21	SW	nan	1
50	58	113	56	42	SW	nan	1
75	124	245	122	97	SW	nan	1
100	161	319	159	126	SW	nan	1
125	253	503	251	196	SW	nan	1
150	286	569	284	224	SW	nan	1
175	364	725	362	296	SW	nan	2
200	393	783	391	305	SW	nan	2
225	426	849	424	302	SW	nan	2
250	454	905	452	289	SW	nan	3
275	524	1042	519	290	SW	nan	2
300	551	1090	540	279	SW	nan	3
325	567	1108	542	266	SW	nan	3
350	547	1054	508	252	SW	nan	2
375	575	1098	524	262	SW	nan	3
400	572	1082	511	256	SW	nan	3
425	561	1037	477	218	SW	nan	3
450	577	1068	492	220	METR	4.253232802062065	4
475	579	1058	480	204	SW	nan	3
500	562	1008	447	211	SW	nan	3
525	549	973	425	194	SW	nan	2
550	515	902	388	144	SW	nan	2
575	500	867	368	130	SW	nan	2
600	478	808	331	112	SW	nan	2
625	423	693	271	113	SW	nan	2
650	431	720	290	112	SW	nan	3
675	437	731	295	115	SW	nan	3
700	426	711	286	134	SW	nan	2
725	395	655	261	133	SW	nan	2
750	386	642	257	128	SW	nan	2
775	394	663	270	117	SW	nan	2
800	379	639	261	93	SW	nan	2
825	381	647	267	91	SW	nan	2
850	341	568	228	82	SW	nan	2
875	325	538	214	82	SW	nan	2
900	304	501	198	75	METR	1.5990352697644419	6
