epoch	V	E	b1H	b1S	label	d_cal	npts
25	34	65	32	28	SW	nan	1
50	168	333	166	113	SW	nan	1
75	216	429	214	160	SW	nan	1
100	273	543	271	213	SW	nan	1
125	297	591	295	238	SW	nan	1
150	369	735	367	291	SW	nan	2
175	432	861	430	342	SW	nan	3
200	540	1077	538	399	SW	nan	3
225	578	1153	576	416	SW	nan	3
250	608	1213	606	438	SW	nan	3
275	609	1214	606	440	SW	nan	3
300	591	1175	585	416	SW	nan	3
325	606	1205	600	403	SW	nan	3
350	589	1169	581	355	SW	nan	3
375	562	1111	550	321	SW	nan	2
400	540	1052	513	297	SW	nan	3
425	553	1068	516	326	SW	nan	3
450	531	1024	494	304	SW	nan	3
475	476	910	435	272	SW	nan	2
500	481	925	445	281	SW	nan	3
525	511	979	469	297	METR	3.362147474337264	4
550	482	907	426	263	SW	nan	3
575	435	803	369	227	SW	nan	3
600	416	759	344	223	SW	nan	3
625	418	772	355	243	SW	nan	3
650	492	919	428	270	METR	3.384179069050348	5
675	540	1017	478	313	METR	3.5382747326734885	4
700	547	1033	487	326	SW	nan	3
725	543	1030	488	330	METR	3.7757851645767464	4
750	574	1094	521	368	SW	nan	3
775	600	1143	544	383	METR	3.8319454934505104	4
800	624	1180	557	370	METR	4.158796414454622	4
825	679	1285	607	394	METR	3.7891147941759793	5
850	657	1243	587	390	METR	3.879997132534123	5
875	641	1214	574	394	METR	3.4208726223984316	5
900	657	1245	589	390	METR	3.2666528671704436	5
