epoch	V	E	b1H	b1S	label	d_cal	npts
25	17	31	15	12	SW	nan	1
50	49	95	47	35	SW	nan	1
75	65	127	63	51	SW	nan	1
100	78	153	76	64	SW	nan	1
125	99	195	97	73	SW	nan	1
150	125	247	123	101	SW	nan	1
175	164	325	162	121	SW	nan	2
200	190	377	188	152	SW	nan	1
225	216	429	214	174	SW	nan	2
250	266	529	264	202	SW	nan	2
275	346	689	344	267	SW	nan	2
300	352	701	350	275	SW	nan	2
325	382	761	380	285	SW	nan	3
350	415	825	411	299	SW	nan	2
375	425	843	419	308	SW	nan	2
400	425	840	416	286	SW	nan	2
425	442	873	432	298	METR	3.9325268431100056	4
450	563	1111	549	365	METR	3.456809316056539	4
475	630	1246	617	416	METR	4.610191219955767	4
500	712	1407	696	486	METR	3.9373552870826445	4
525	879	1739	861	625	METR	4.020335727600921	4
550	947	1874	928	694	METR	4.3083655892588615	4
575	1052	2082	1031	743	METR	4.485852435846051	4
600	1032	2037	1006	719	SW	nan	3
625	1005	1977	973	694	SW	nan	3
650	983	1926	944	656	SW	nan	3
675	991	1931	941	599	METR	4.413595404162867	4
700	982	1900	919	526	METR	4.127907249161206	4
725	877	1685	809	429	METR	3.906808303289068	5
750	801	1523	723	413	METR	4.090186240103765	4
775	695	1311	617	380	METR	4.012067408933756	4
800	657	1235	579	355	METR	3.836462637078537	4
825	653	1221	569	316	METR	3.820690149608558	4
850	638	1187	550	287	METR	3.6072940861652034	5
875	607	1102	496	264	METR	3.201382201988493	5
900	533	948	416	245	METR	3.4293638416215613	5
