epoch	V	E	b1H	b1S	label	d_cal	npts
25	19	35	17	11	SW	nan	1
50	32	61	30	27	SW	nan	1
75	114	225	112	75	SW	nan	1
100	171	339	169	135	SW	nan	1
125	218	433	216	174	SW	nan	1
150	232	461	230	191	SW	nan	2
175	258	513	256	213	SW	nan	3
200	291	579	289	226	SW	nan	2
225	334	665	332	213	SW	nan	2
250	351	699	349	187	SW	nan	3
275	382	760	379	191	SW	nan	3
300	379	744	366	187	SW	nan	3
325	367	720	354	174	SW	nan	3
350	382	745	364	175	SW	nan	3
375	453	880	428	213	METR	1.4775366109751085	4
400	475	922	448	213	SW	nan	3
425	482	910	429	213	SW	nan	2
450	492	915	424	238	SW	nan	2
475	502	917	416	263	SW	nan	3
500	492	899	408	253	SW	nan	2
525	509	932	424	210	SW	nan	3
550	508	914	407	186	SW	nan	3
575	539	972	434	191	SW	nan	3
600	564	1009	446	230	SW	nan	3
625	547	972	426	221	SW	nan	3
650	537	953	417	214	SW	nan	3
675	505	893	389	209	SW	nan	3
700	461	814	354	179	SW	nan	3
725	434	747	314	135	SW	nan	3
750	370	629	260	93	SW	nan	2
775	320	570	251	100	SW	nan	2
800	335	598	264	99	SW	nan	3
825	320	565	246	103	SW	nan	3
850	303	522	221	103	SW	nan	2
875	302	518	217	105	SW	nan	2
900	299	517	219	111	SW	nan	2
