epoch	V	E	b1H	b1S	label	d_cal	npts
25	20	37	18	9	SW	nan	1
50	44	85	42	21	SW	nan	1
75	55	107	53	27	SW	nan	1
100	73	143	71	38	SW	nan	1
125	95	187	93	52	SW	nan	2
150	112	221	110	61	SW	nan	1
175	136	269	134	65	SW	nan	3
200	150	297	148	78	SW	nan	2
225	143	283	141	83	SW	nan	1
250	155	307	153	82	SW	nan	1
275	137	269	133	74	SW	nan	1
300	129	255	127	67	SW	nan	1
325	119	235	117	51	SW	nan	1
350	95	187	93	48	SW	nan	2
375	85	167	83	44	SW	nan	1
400	82	161	80	38	SW	nan	1
425	97	191	95	52	SW	nan	1
450	103	203	101	57	SW	nan	1
475	99	195	97	57	SW	nan	1
500	104	205	102	54	SW	nan	2
525	108	213	106	61	SW	nan	2
550	126	249	124	68	SW	nan	2
575	135	267	133	70	SW	nan	3
600	131	259	129	70	SW	nan	1
625	138	273	136	68	SW	nan	1
650	135	267	133	64	SW	nan	1
675	155	307	153	58	SW	nan	2
700	137	269	133	50	SW	nan	2
725	126	249	124	45	SW	nan	3
750	123	243	121	48	SW	nan	2
775	117	231	115	50	SW	nan	2
800	119	235	117	52	SW	nan	2
825	105	207	103	52	SW	nan	2
850	126	249	124	60	SW	nan	2
875	112	221	110	56	SW	nan	1
900	113	223	111	53	SW	nan	1
