epoch	V	E	b1H	b1S	label	d_cal	npts
25	17	31	15	11	SW	nan	0
50	70	137	68	50	SW	nan	1
75	98	193	96	76	SW	nan	1
100	124	245	122	104	SW	nan	1
125	166	329	164	136	SW	nan	2
150	198	393	196	162	SW	nan	2
175	237	471	235	186	SW	nan	2
200	260	517	258	189	SW	nan	2
225	280	557	278	175	SW	nan	2
250	311	619	309	183	SW	nan	2
275	326	649	324	168	SW	nan	2
300	353	698	346	157	SW	nan	2
325	387	765	379	159	SW	nan	2
350	393	758	366	181	SW	nan	3
375	418	803	386	190	SW	nan	3
400	402	761	360	187	SW	nan	3
425	402	746	345	180	SW	nan	3
450	434	801	368	211	SW	nan	3
475	432	785	354	191	SW	nan	3
500	447	816	370	192	SW	nan	3
525	490	902	413	215	METR	3.1027407599857684	4
550	506	927	422	240	METR	1.5717547662433358	4
575	494	907	414	243	SW	nan	3
600	495	903	409	219	SW	nan	3
625	470	851	382	208	SW	nan	2
650	479	866	388	176	SW	nan	2
675	508	914	407	174	SW	nan	2
700	523	937	415	175	SW	nan	3
725	513	914	402	163	SW	nan	3
750	468	825	358	169	SW	nan	3
775	376	674	299	161	SW	nan	2
800	364	644	281	140	SW	nan	3
825	374	659	286	110	SW	nan	3
850	288	504	217	102	SW	nan	2
875	285	489	205	95	SW	nan	3
900	298	519	222	103	SW	nan	3
