D,final_L,mean_L_tail,std_L_tail,mean_v_tail,std_v_tail,mean_Omega_tail,std_Omega_tail,oscillation_amplitude_v,oscillation_amplitude_Omega,instability_indicator
0.0,0.7902602259734832,0.16264858656449707,0.2341215754502614,0.04635315193385539,0.49675134746530913,0.22792741825785762,0.429593541746558,2.309373797199145,1.731774799013794,0.9263448892118671
0.002,0.6808613223373409,0.2800871950091084,0.2457904237157674,0.022096477078479313,0.5907097309325375,0.40228512443930226,0.4830992776135049,2.2281513021380643,1.6566430640174759,1.0738090085460423
0.004,0.17167081211454502,0.3831364659967534,0.2344227697446393,0.002527616802209298,0.6313925891005238,0.567329264308853,0.4956553729853883,2.115880026160423,1.5583733362040477,1.127047962085912
0.006,0.2345825567963743,0.40789308437637406,0.21540609444259107,0.0011279830025376174,0.5749359523493687,0.597650317515104,0.4661938718669918,1.9807509896674302,1.47110769915978,1.0411298242163605
0.008,0.28869309468878795,0.48520411870297375,0.19680881817891677,-0.03194011443715482,0.5825401026649872,0.7368534038652778,0.4514228247790544,1.8906227705246885,1.370504409714531,1.0339629274440416
0.01,0.5369685131758108,0.5036517881417258,0.1794655256610213,0.01948951240338527,0.5356915523727306,0.7615295161966955,0.4180980695549176,1.7353746309924616,1.2805973670980781,0.9537896219276482
0.012,0.6594202059141998,0.5343120345794685,0.15387227586878666,0.0331950782454261,0.5172938808618677,0.8103185070562451,0.3738575989273722,1.6477583706806613,1.1783069943266649,0.8911514797892399
0.014,0.4595263196470561,0.5565114547934304,0.14225827248031753,-0.04032579762815,0.4764615825547268,0.8528569625149648,0.3509552570540854,1.524749148705149,1.109843685076037,0.8274168396088122
0.016,0.6287538868635938,0.55659161059266,0.12849393012109608,0.019545303800294102,0.42851023996965654,0.8429325322081043,0.3198288023789713,1.4016895097080022,1.0284660651823767,0.7483390423486278
0.018000000000000002,0.6574358883931819,0.5877175399691085,0.11661967728344964,0.02992113979785562,0.4073363465757638,0.9108850449046423,0.2986616767021177,1.3244682673384078,0.9561781165052046,0.7059980232778815
0.02,0.4929630932580836,0.5981772710434815,0.10465483401524028,-0.010578733125835085,0.37746137308643535,0.9295684972674303,0.2723595322790121,1.2522685282668302,0.8789067751246662,0.6498209053654475
0.025,0.6868743983447421,0.6068403661400256,0.08396152656543263,0.010374051811139064,0.2991457665464045,0.9392075740659307,0.22073258381245073,1.015185324586755,0.7290829142814892,0.5198783503588552
0.037500000000000006,0.6790556854187666,0.6305987823473805,0.04707806696589093,-0.003973690890094862,0.17673902221616405,0.9859330064990253,0.12854217488131223,0.6359470539107421,0.46517858456379646,0.30528119709747625
0.05,0.6150994791133586,0.6341463883662484,0.027713669975865333,0.0016434902067191904,0.1033769130118197,0.9902441175682716,0.07582375026241231,0.39076169305460945,0.2895642294657238,0.179200663274232
0.0625,0.6360812207636392,0.6376226754604429,0.015894913844307496,0.003989491761435635,0.06354753179483785,0.9978840598436431,0.04396045875238627,0.2569126167874448,0.1840784971007723,0.10750799054722412
0.07500000000000001,0.6421109208822783,0.6388120648179151,0.009472834840656945,0.0017476791984454793,0.03870868991909491,1.0005515748256295,0.02626936353023117,0.1689355406128278,0.11162251486710417,0.06497805344932608
0.0875,0.641404301298538,0.6389989687898618,0.005879876207648152,0.0004456286168998461,0.023323384692956528,1.000857344299637,0.016303921642753922,0.11098994129330969,0.07255538393581207,0.03962730633571045
0.1,0.6402647507953841,0.6389647041502166,0.0036774774690419855,4.372570629757199e-05,0.014293344303486749,1.000681547900456,0.010194347675725215,0.07175560170727954,0.047135117452655306,0.024487691979211964
0.11250000000000002,0.639545346706992,0.6389058914043838,0.002308315889096524,-1.1106127002063998e-05,0.008934328272127163,1.0004871756910656,0.006396985352617971,0.04688828629566051,0.03060013192227884,0.015331313624745133
0.125,0.6391441499460836,0.6388560998936262,0.001453768583376653,2.776968939615388e-05,0.005691457142159828,1.0003369563644182,0.004027694031310033,0.031113481702503852,0.01985091592737709,0.00971915117346986
0.1375,0.6389268069324618,0.638817116427232,0.0009183535844914468,7.315401999013844e-05,0.0036928519496832735,1.0002241450180311,0.0025437442462931405,0.020633317911143846,0.012867174175288043,0.006236596195976414
0.15,0.6388129299328008,0.6387869781155396,0.0005836035656425248,0.0001002251072652293,0.00243236292218901,1.0001387753484434,0.0016162276003019644,0.013528815713277482,0.008334450414052341,0.0040485905224909744
0.1625,0.6387574148943054,0.6387643076349594,0.00037669625146465545,0.00010607561946397822,0.0016130263748146897,1.0000752551467615,0.0010430430714891796,0.008861515226520855,0.005392542626919905,0.0026560694463038693
0.17500000000000002,0.6387340439502166,0.6387482468446927,0.000250369112277936,9.537802735964018e-05,0.0010648254768475492,1.000030494226345,0.0006931292822297357,0.005800614403060806,0.0041712387040250265,0.001757954759077285
0.1875,0.6387271912112156,0.6387379737072375,0.00017220675433537392,7.490960701725098e-05,0.0006938305515285305,1.000001932637484,0.0004766683461844894,0.0037935888385652026,0.003046381817377819,0.0011704988977130199
0.2,0.6387277207046796,0.6387324728361381,0.00012075432169698039,5.111526679825134e-05,0.0004477280103507885,0.9999866514545009,0.00033422074643849525,0.002478523686007072,0.0020624542053214734,0.0007819487567892838
0.25,0.6387369547711762,0.6387345590992314,2.4569544596843673e-05,-6.377004410647139e-06,0.00010842402715962297,0.999992374749655,6.800744721118674e-05,0.0006940879136265044,0.00038648284599140936,0.00017643147437080973
0.3,0.6387374489335281,0.6387382143467293,7.281500647762324e-06,-2.070742875996104e-06,2.4580904587247622e-05,1.0000024928429605,2.0156025925148236e-05,0.00017489418999753911,0.00012058782661683587,4.4736930512395855e-05
0.35,0.6387372960076791,0.6387372173158667,2.145823261978627e-06,1.2405886702638103e-06,7.983837130045908e-06,0.999999734543048,5.93976050406738e-06,4.753807425156096e-05,4.394437854815525e-05,1.3923597634113288e-05
0.4,0.6387373142132579,0.6387372641229749,6.434410445819335e-07,-3.7012537770299325e-07,3.088927723013847e-06,0.9999998646196234,1.7810880434422085e-06,1.9708996570905813e-05,1.4554689186652148e-05,4.870015766456055e-06
0.45,0.6387373131589972,0.63873735693287,2.588627648490542e-07,5.1586540227759896e-08,1.168218148133899e-06,1.000000121906103,7.165505835515733e-07,9.367431200378333e-06,4.245506425415435e-06,1.8847687316854723e-06
0.5,0.6387373123922572,0.6387372880489603,1.387200313781713e-07,3.046940876771205e-08,4.6402457995789694e-07,0.9999999312871106,3.839864009582045e-07,4.13810488237325e-06,2.280560679301935e-06,8.480109809161015e-07
0.55,0.6387373129519907,0.6387373249407513,8.1827926796851e-08,-4.107836256777748e-08,2.3790082359075768e-07,1.0000000334659527,2.2650541780407862e-07,1.6819919887226236e-06,1.4401485000092862e-06,4.644062413948363e-07
0.6000000000000001,0.6387373127083109,0.638737307593593,5.0395745787307084e-08,3.490700019602399e-08,1.695383576219502e-07,0.9999999859945512,1.394988623383559e-07,9.813646503440916e-07,1.0657998744667552e-06,3.090372199603061e-07
0.65,0.6387373133072364,0.6387373136278904,3.2701648396771704e-08,-2.6578928302523524e-08,1.4216225948543767e-07,1.0000000030828307,9.052042715893217e-08,8.400900487073326e-07,8.211544294534079e-07,2.3268268664436982e-07
0.7,0.6387373123919955,0.6387373138822358,2.3251916490545713e-08,1.9136509198533485e-08,1.270253977775097e-07,1.0000000040347368,6.436290439069895e-08,8.550346740298056e-07,6.374186725111031e-07,1.9138830216820865e-07
0.75,0.6387373124131832,0.6387373087279448,2.066945945879895e-08,-1.1735121688190175e-08,1.1828432287596404e-07,0.9999999898001827,5.7214483404494003e-08,9.80250475430574e-07,4.960160820965953e-07,1.7549880628045805e-07
0.8,0.63873731258862,0.638737318879564,2.6356580922354734e-08,2.1292646121973116e-09,1.1411268434536292e-07,1.000000017411815,7.295684050659454e-08,1.1165510012472947e-06,3.9783181615682395e-07,1.8706952485195745e-07
