t,L,v,Omega,E_v,E_Omega,P_drive,P_feedback,P_D,P_Omega,cumulative_drive,cumulative_feedback,cumulative_dissipation
0.0,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020850708924103418,0.01798634755053329,0.0007457680136477539,1.393314900970548e-07,2.780849650900582e-07,9.70663206633284e-15,2.682728537107871e-05,2.6040258843557453e-19,3.0589346159906405e-07,1.5530611306132546e-14,2.7968395924810997e-07,2.7147892872766318e-21,3.189047926706373e-09
0.041701417848206836,0.017986758230406574,0.0014830438839417907,5.521402940651998e-07,1.0997095808485759e-06,1.5242945216520263e-13,5.335030357108827e-05,8.13215754618824e-18,1.2096805389334337e-06,2.4388712346432424e-13,1.1155637438828784e-06,9.021020353481429e-20,1.8989446800249245e-08
0.06255212677231026,0.01798743891259001,0.002211935691306957,1.2307849086917913e-06,2.4463297512387928e-06,7.574157457317306e-13,7.957411625192288e-05,6.027068860189359e-17,2.6909627263626722e-06,1.211865193170769e-12,2.5013479372003426e-06,8.033341208417558e-19,5.965505064770987e-08
0.08340283569641367,0.01798838655866875,0.0029325501713723745,2.1677990033819336e-06,4.299925253808071e-06,2.3496762595318522e-12,0.00010550369217067311,2.4789952078638717e-16,4.729917779188879e-06,3.759482015250964e-12,4.430849693065604e-06,4.0161177883592774e-18,1.3702041216667105e-07
0.10425354462051709,0.01798959818025469,0.003644992723357385,3.355889657867527e-06,6.642985976664143e-06,5.6309976978911136e-12,0.0001311439089263032,7.384710492564552e-16,7.307284574330558e-06,9.009596316625782e-12,6.897984817095798e-06,1.4299380611991912e-17,2.6251264655572196e-07
0.12510425354462051,0.01799107083811628,0.004349367425993311,4.787933724808652e-06,9.458498503145838e-06,1.1462154676580024e-11,0.00015649955492408224,1.7938221053557613e-15,1.0404348353460423e-05,1.8339447482528038e-11,9.896769886428424e-06,4.069943435065139e-17,4.471629830531655e-07
0.14595496246872391,0.01799280164292919,0.005045776997377225,6.456985703988468e-06,1.2729932753630562e-05,2.0846332190755724e-11,0.0001815753292965265,3.7851796321612515e-15,1.400292602899362e-05,3.335413150520916e-11,1.342132038914536e-05,9.886250500866857e-17,7.016180088666873e-07
0.16680567139282734,0.01799478775212162,0.005734322891256272,8.35625777701432e-06,1.6441229510592843e-05,3.491352201795615e-11,0.000206375846660578,7.205307666358433e-15,1.808535246165213e-05,5.586163522872984e-11,1.746584891246797e-05,2.1344223080641342e-16,1.0361506163146909e-06
0.18765638031693077,0.017997026369083492,0.006415105311163691,1.047911687791242e-05,2.05767880766603e-05,5.490594527047448e-11,0.00023090563889092102,1.2678092371588853e-14,2.2634466884326333e-05,8.784951243275917e-11,2.2024663399034892e-05,4.207337241127864e-16,1.4606706648668816e-06
0.20850708924103417,0.017999514742792846,0.007088223210418819,1.2819084693127864e-05,2.5121454140360035e-05,8.216446618479255e-11,0.00025516915635227994,2.0965837518508948e-14,2.763359955439604e-05,1.3146314589566807e-10,2.7092165434514463e-05,7.71483618713472e-16,1.9847353620247283e-06
0.2293577981651376,0.01800225016739627,0.007753774294184767,1.5369837247603385e-05,3.0060507902580243e-05,1.181159485089082e-10,0.00027917076917088126,3.297452019658011e-14,3.306655869283827e-05,1.8898551761425313e-10,3.2662848561319735e-05,1.3338309677031412e-15,2.6175593684456818e-06
0.25020850708924103,0.018005229981079514,0.00841185504743465,1.8125198991945643e-05,3.5379652669525895e-05,1.6426141924881366e-10,0.00030291476939313074,4.9757209931942765e-14,3.891761793647849e-05,2.628182707981019e-10,3.873129662808383e-05,2.1963385795517952e-15,3.3680246356798895e-06
0.27105921601334443,0.018008451567038352,0.009062560689593054,2.1079151308084442e-05,4.106500312627866e-05,2.2216530993455902e-10,0.0003264053705037644,7.251595030227339e-14,4.5171503438906535e-05,3.5546449589529443e-10,4.5292182156616924e-05,3.471079616188743e-15,4.244689978237767e-06
