epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate	w_cont
1450	223	417	195	139	METR	1.9151672840820624	7	134	0.29850746268656714	2.582089552238806	0.01941420715969027	0	1.386294
1475	222	414	193	138	METR	1.6386375930164383	8	131	0.26717557251908397	2.4580152671755724	0.018907809747504403	0	1.504077
1500	216	402	187	132	METR	1.5812113665041099	8	122	0.2459016393442623	2.5081967213114753	0.020728898523235333	0	1.504077
1525	198	365	168	107	METR	1.6591547386053722	7	92	0.13043478260869565	1.8043478260869565	0.019827998088867656	0	1.386294
1550	188	345	158	102	METR	1.308727755324833	11	78	0.10256410256410256	1.1538461538461537	0.014985014985014986	0	2.397895
1575	179	326	148	90	METR	1.1651161656946085	7	67	0.07462686567164178	1.0149253731343284	0.015377657168701944	0	1.386294
1600	171	310	140	81	METR	0.9249619659718639	10	64	0.109375	1.25	0.01984126984126984	0	2.302585
1625	158	281	125	75	METR	1.2400679716987968	10	64	0.125	1.5625	0.0248015873015873	0	2.302585
1650	145	256	115	82	METR	2.567258373187204	4	70	0.11428571428571428	1.5142857142857142	0.02194616977225673	0	0.916291
1675	139	252	115	88	SW	nan	3	74	0.13513513513513514	1.6216216216216217	0.022213994816734542	0	0.693147
1700	145	272	128	94	SW	nan	3	85	0.09411764705882353	1.7411764705882353	0.02072829131652661	0	0.693147
1725	149	280	132	100	SW	nan	3	89	0.10112359550561797	1.7752808988764044	0.02017364657814096	0	0.693147
1750	154	289	136	98	SW	nan	3	89	0.10112359550561797	1.7303370786516854	0.019662921348314606	0	0.693147
1775	154	296	143	100	SW	nan	3	97	0.10309278350515463	1.8350515463917525	0.01911512027491409	0	1.098612
1800	139	269	131	89	SW	nan	2	85	0.12941176470588237	1.6705882352941177	0.019887955182072828	0	0.405465
1825	130	250	121	84	SW	nan	3	73	0.1232876712328767	1.452054794520548	0.020167427701674276	0	0.693147
1850	117	222	107	78	SW	nan	2	67	0.13432835820895522	1.5522388059701493	0.023518769787426504	0	0.405465
1875	106	202	97	77	SW	nan	2	58	0.1206896551724138	1.3793103448275863	0.024198427102238355	0	0.405465
1900	115	221	107	80	SW	nan	3	67	0.31343283582089554	2.029850746268657	0.03075531433740389	0	1.098612
1925	139	268	130	89	SW	nan	3	81	0.4691358024691358	2.9382716049382718	0.0367283950617284	0	1.098612
1950	145	281	137	94	METR	1.0180439589177088	4	84	0.5714285714285714	3.0952380952380953	0.037292025243832475	0	0.916291
1975	173	337	165	117	SW	nan	2	122	0.6885245901639344	3.819672131147541	0.03156753827394662	0	0.405465
2000	203	398	196	137	SW	nan	3	157	0.7006369426751592	4.203821656050955	0.026947574718275354	0	0.693147
2025	193	382	190	142	SW	nan	3	169	0.650887573964497	4.2485207100591715	0.02528881375035221	0	1.098612
2050	214	424	211	158	SW	nan	3	184	0.5869565217391305	4.1521739130434785	0.022689474934663816	0	1.098612
2075	243	482	240	172	SW	nan	3	213	0.5070422535211268	3.9812206572769955	0.018779342723004695	0	1.098612
2100	316	626	311	212	METR	1.315207984741624	8	281	0.5836298932384342	4.1138790035587185	0.01469242501270971	0	2.079442
2125	334	661	328	206	METR	1.5791550121854068	8	263	0.7604562737642585	4.0	0.015267175572519083	0	2.079442
2150	302	595	295	223	SW	nan	2	283	0.9151943462897526	4.120141342756184	0.014610430293461645	0	0.405465
2175	346	688	343	267	SW	nan	3	327	0.9174311926605505	4.030581039755352	0.012363745520721938	0	1.098612
2200	364	723	360	280	SW	nan	2	344	0.9156976744186046	3.9767441860465116	0.011594006373313445	0	0.405465
2225	386	767	382	299	SW	nan	3	358	0.9162011173184358	3.8659217877094973	0.010828912570614838	0	1.098612
2250	455	905	451	335	SW	nan	2	415	0.8963855421686747	3.6771084337349396	0.008881904429311449	0	0.405465
2275	470	935	466	331	SW	nan	2	397	0.7884130982367759	3.370277078085642	0.008510800702236471	0	0.405465
2300	506	1006	501	341	METR	4.022056160502473	4	390	0.18974358974358974	2.646153846153846	0.006802452046667985	0	1.386294
2325	537	1067	531	341	METR	3.655668556830505	4	398	0.22613065326633167	2.5527638190954773	0.0064301355644722355	0	1.386294
2350	553	1098	546	368	METR	4.091730906550836	4	389	0.19794344473007713	2.4267352185089974	0.006254472212652055	0	1.386294
2375	536	1057	522	354	SW	nan	3	374	0.20588235294117646	2.2941176470588234	0.006150449455921779	0	0.693147
2400	556	1098	543	374	SW	nan	3	381	0.17060367454068243	2.146981627296588	0.005649951650780495	0	1.098612
2425	649	1284	636	423	METR	3.767951962592116	4	463	0.08855291576673865	2.423326133909287	0.005245294662141314	0	1.386294
2450	679	1341	663	428	METR	3.5548701018942515	4	459	0.08714596949891068	2.400871459694989	0.005242077422914823	0	1.386294
2475	693	1360	668	414	METR	3.612446343781662	4	447	0.087248322147651	2.3176733780760626	0.005196577080888033	0	1.386294
2500	663	1292	630	398	SW	nan	3	419	0.0954653937947494	2.143198090692124	0.005127268159550536	0	0.693147
2525	618	1195	578	376	SW	nan	3	381	0.08661417322834646	2.047244094488189	0.005387484459179445	0	0.693147
2550	585	1129	545	345	METR	3.8470078347050474	4	344	0.07267441860465117	1.802325581395349	0.005254593531764866	0	1.386294
2575	607	1173	567	341	METR	3.3977887002484177	5	342	0.09064327485380116	1.912280701754386	0.005607861295467408	0	1.609438
2600	595	1137	543	334	METR	3.0131050557732957	5	338	0.10355029585798817	1.9763313609467457	0.005864484750583814	0	1.609438
2625	581	1104	524	315	METR	3.445804176643671	4	315	0.10476190476190476	2.0126984126984127	0.006409867556364372	0	0.916291
2650	649	1238	590	382	METR	3.219819711751107	4	396	0.1111111111111111	2.257575757575758	0.005715381664748754	0	0.916291
2675	653	1239	587	407	METR	3.3460597785900577	4	408	0.10294117647058823	2.2205882352941178	0.005455990750108397	0	0.916291
2700	675	1290	616	437	METR	3.47767434036722	5	441	0.05442176870748299	2.240362811791383	0.0050917336631622345	0	1.609438
2725	729	1392	664	456	METR	3.006484488861056	5	478	0.060669456066945605	2.1757322175732217	0.004561283474996272	0	1.609438
2750	730	1387	658	454	METR	2.6232708650710492	6	481	0.056133056133056136	2.087318087318087	0.0043485793485793485	0	1.791759
2775	767	1463	697	468	METR	2.674660733455779	6	498	0.05220883534136546	2.1285140562248994	0.004282724459205029	0	1.791759
2800	829	1588	760	503	METR	3.0718512239879754	7	534	0.04868913857677903	2.153558052434457	0.004040446627456768	0	1.94591
2825	816	1552	737	492	METR	2.6875472621130942	6	518	0.05019305019305019	2.146718146718147	0.004152259471408407	0	1.252763
2850	847	1608	762	505	METR	2.4197407993424735	6	529	0.04158790170132325	2.015122873345936	0.0038165205934582117	0	1.252763
2875	899	1714	816	541	METR	3.184411005690399	5	591	0.04230118443316413	2.250423011844332	0.003814276291261579	0	1.098612
2900	986	1885	900	602	METR	3.3424949583042736	5	670	0.0626865671641791	2.4507462686567165	0.0036632978604734176	0	1.098612
2925	1045	2002	958	651	METR	3.352809606718047	6	745	0.042953020134228186	2.5530201342281877	0.003431478675037887	0	1.252763
2950	1082	2071	990	679	METR	3.1050573033348066	6	764	0.049738219895287955	2.549738219895288	0.003341727680072461	0	1.252763
2975	1114	2137	1024	701	METR	2.8899986978714036	7	803	0.047322540473225407	2.5205479452054793	0.003142827861852219	0	1.386294
3000	1082	2073	992	653	METR	3.137604466215584	7	747	0.04819277108433735	2.393574297188755	0.00320854463430128	0	1.386294
3025	1038	1979	942	601	METR	3.2441637360571605	6	688	0.050872093023255814	2.258720930232558	0.003287803391896009	0	1.252763
3050	974	1848	875	517	METR	3.218252430804407	7	579	0.0535405872193437	2.0207253886010363	0.0034960646861609624	0	1.94591
3075	936	1759	824	445	METR	3.1981192826643676	6	512	0.052734375	2.15625	0.004219667318982387	0	1.791759
3100	711	1309	600	323	METR	2.7891542435610903	7	366	0.06830601092896176	2.010928961748634	0.005509394415749682	0	1.386294
3125	611	1121	511	261	METR	2.0421281853757276	8	284	0.06338028169014084	1.591549295774648	0.005623849101677201	0	1.504077
3150	514	938	425	241	METR	2.2380357251319762	8	237	0.0759493670886076	1.6033755274261603	0.006793964099263391	0	1.504077
3175	523	956	434	246	METR	1.7906009393276106	10	258	0.05813953488372093	1.627906976744186	0.006334268392000724	0	2.302585
3200	514	937	424	221	METR	1.9969589225805073	9	232	0.04741379310344827	1.5086206896551724	0.006530825496342737	0	1.609438
3225	518	944	427	221	METR	1.6606673648773247	11	250	0.044	1.52	0.006104417670682731	0	1.791759
3250	456	819	364	221	METR	1.353347818469517	12	229	0.048034934497816595	1.4497816593886463	0.006358691488546694	0	1.871802
3275	415	740	326	204	METR	1.2793519595768166	12	209	0.05741626794258373	1.3971291866028708	0.0067169672432830325	0	1.871802
3300	386	681	297	187	METR	1.3455494818954243	15	185	0.06486486486486487	1.427027027027027	0.007755581668625147	0	2.079442
3325	347	602	257	155	METR	1.5341836650987954	12	143	0.08391608391608392	1.3706293706293706	0.00965231951147444	0	1.871802
3350	321	548	229	145	METR	1.8862750251937088	8	124	0.06451612903225806	1.1774193548387097	0.00957251507998951	0	1.504077
3375	363	633	272	175	METR	1.5566996165453406	12	165	0.08484848484848485	1.915151515151515	0.011677753141167776	0	2.484907
3400	378	665	288	195	METR	0.9581161163717997	12	178	0.09550561797752809	2.0898876404494384	0.011807274804799086	0	2.484907
3425	397	708	313	214	METR	1.6710656934534145	8	215	0.14418604651162792	2.316279069767442	0.010823733970875897	0	1.504077
3450	344	628	285	207	METR	2.222855369075129	7	207	0.057971014492753624	2.135265700483092	0.010365367478073262	0	1.386294
3475	312	572	261	203	METR	2.3703192867921783	5	196	0.061224489795918366	2.2551020408163267	0.011564625850340135	0	1.098612
3500	284	533	250	190	METR	2.497015561189018	4	185	0.06486486486486487	2.3027027027027027	0.012514688601645124	0	0.916291
3525	280	525	246	179	METR	2.605660220754931	5	171	0.08187134502923976	2.2923976608187133	0.01348469212246302	0	1.609438
3550	289	543	255	159	METR	1.7798155174551957	6	163	0.15950920245398773	2.392638036809816	0.014769370597591456	0	1.791759
3575	249	465	217	142	METR	1.7309758811659408	7	150	0.22	2.48	0.01664429530201342	0	1.94591
3600	208	394	187	143	METR	1.6725240023880517	5	142	0.2605633802816901	2.535211267605634	0.017980221756068324	0	1.098612
3625	196	366	171	134	METR	2.1648281401495346	5	130	0.2692307692307692	2.5384615384615383	0.01967799642218247	0	1.098612
3650	188	351	164	135	METR	2.3229485416768787	4	130	0.27692307692307694	2.6	0.020155038759689922	0	0.916291
3675	215	404	190	152	METR	2.1989667487018414	4	157	0.2356687898089172	2.662420382165605	0.01706679732157439	0	0.916291
3700	247	470	224	168	METR	2.7607902529762454	4	180	0.28888888888888886	2.488888888888889	0.013904407200496585	0	0.916291
3725	240	456	217	162	METR	3.165890441419119	4	166	0.30120481927710846	2.4216867469879517	0.014676889375684557	0	0.916291
3750	242	461	220	154	SW	nan	3	150	0.2866666666666667	2.013333333333333	0.013512304250559284	0	0.693147
3775	221	428	208	145	SW	nan	3	134	0.1044776119402985	1.5820895522388059	0.011895410167209068	0	0.693147
3800	215	415	201	132	SW	nan	3	119	0.15126050420168066	1.5294117647058822	0.01296111665004985	0	0.693147
3825	200	386	187	105	SW	nan	3	89	0.21348314606741572	1.348314606741573	0.015321756894790603	0	0.693147
3850	172	324	153	87	SW	nan	3	72	0.2361111111111111	1.3333333333333333	0.018779342723004695	0	0.693147
3875	163	306	144	97	METR	2.4500327276671916	5	70	0.2857142857142857	1.2857142857142858	0.018633540372670808	0	1.098612
3900	157	299	143	89	METR	2.5417770304299188	4	68	0.36764705882352944	1.411764705882353	0.021071115013169446	0	0.916291
3925	155	290	136	95	SW	nan	3	74	0.32432432432432434	1.3513513513513513	0.018511662347278787	0	0.693147
3950	145	267	123	97	SW	nan	3	73	0.3287671232876712	1.36986301369863	0.01902587519025875	0	0.693147
3975	141	260	120	94	SW	nan	3	69	0.30434782608695654	1.2753623188405796	0.01875532821824382	0	0.693147
4000	145	269	125	96	SW	nan	3	70	0.34285714285714286	1.4	0.020289855072463767	0	0.693147
