epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate	w_cont
25	28	53	26	19	SW	nan	1	26	1.0	8.923076923076923	0.3569230769230769	0	nan
50	72	141	70	51	SW	nan	1	70	1.0	8.257142857142858	0.11966873706004141	0	nan
75	108	213	106	75	SW	nan	1	106	1.0	7.452830188679245	0.07097933513027853	0	nan
100	164	325	162	134	SW	nan	1	162	1.0	6.37037037037037	0.0395675178283874	0	nan
125	256	509	254	191	SW	nan	2	254	1.0	5.31496062992126	0.021007749525380474	0	0.405465
150	305	607	303	241	SW	nan	2	303	1.0	4.996699669966997	0.016545363145586082	0	0.405465
175	343	683	341	285	SW	nan	3	340	1.0	4.682352941176471	0.013812250563942391	0	1.098612
200	361	719	359	296	SW	nan	2	352	1.0	4.573863636363637	0.013030950530950531	0	0.405465
225	446	889	444	354	SW	nan	3	431	0.988399071925754	4.088167053364269	0.009507365240382022	0	1.098612
250	471	939	469	364	SW	nan	2	437	0.9839816933638444	3.9130434782608696	0.008974870362983646	0	0.405465
275	517	1031	515	377	SW	nan	3	448	0.8861607142857143	3.6785714285714284	0.008229466283157558	0	1.098612
300	534	1062	529	373	SW	nan	3	434	0.7050691244239631	3.313364055299539	0.007652110982216026	0	1.098612
325	571	1133	563	396	SW	nan	3	436	0.45642201834862384	2.8577981651376145	0.006569650954339344	0	1.098612
350	615	1218	604	421	SW	nan	3	448	0.18080357142857142	2.482142857142857	0.0055528922978587405	0	1.098612
375	615	1217	603	409	SW	nan	3	432	0.18518518518518517	2.412037037037037	0.0055963736358167916	0	1.098612
400	614	1215	602	394	SW	nan	3	406	0.1748768472906404	2.2561576354679804	0.005570759593748099	0	1.098612
425	631	1242	612	398	SW	nan	3	409	0.17603911980440098	2.1809290953545233	0.005345414449398341	0	1.098612
450	601	1179	579	397	SW	nan	3	389	0.15424164524421594	2.0462724935732646	0.005273898179312538	0	1.098612
475	587	1143	557	350	SW	nan	3	332	0.18072289156626506	1.9457831325301205	0.005878498889819095	0	1.098612
500	585	1129	545	342	METR	2.9711449977121838	4	335	0.1880597014925373	2.035820895522388	0.006095272142282599	0	1.386294
525	595	1146	552	336	METR	4.242363430308162	4	339	0.1887905604719764	2.088495575221239	0.006178980991778813	0	1.386294
550	559	1076	518	329	SW	nan	3	309	0.08090614886731391	1.9546925566343043	0.006346404404656831	0	0.693147
575	547	1045	499	323	SW	nan	3	291	0.08247422680412371	1.8831615120274914	0.006493660386301695	0	0.693147
600	553	1055	503	342	METR	3.913994807615199	4	314	0.10191082802547771	2.0191082802547773	0.006450825176532834	0	1.386294
625	602	1147	546	363	METR	3.560546279073721	4	360	0.10555555555555556	2.2777777777777777	0.0063447848963169295	0	1.386294
650	648	1238	591	382	METR	3.894070339481597	4	393	0.11450381679389313	2.38676844783715	0.0060886950199927296	0	1.386294
675	773	1480	708	474	METR	3.8800880072154897	4	516	0.0872093023255814	2.8255813953488373	0.005486565816211334	0	0.916291
700	768	1461	694	477	METR	3.9592878843325123	4	509	0.0825147347740668	2.825147347740668	0.005561313676654858	0	1.386294
725	733	1391	659	463	SW	nan	3	480	0.06458333333333334	2.6958333333333333	0.005628044537230341	0	0.693147
750	707	1347	641	437	SW	nan	3	455	0.05714285714285714	2.61978021978022	0.005770441012731761	0	0.693147
775	679	1289	611	399	SW	nan	3	413	0.06053268765133172	2.595641646489104	0.006300101083711418	0	0.693147
800	644	1210	567	330	METR	4.061194244361719	4	337	0.06528189910979229	2.344213649851632	0.006976826338844143	0	1.386294
825	568	1058	491	250	SW	nan	3	254	0.07086614173228346	2.031496062992126	0.008029628707478758	0	0.693147
850	469	864	396	209	METR	3.7668543194505406	4	178	0.09550561797752809	1.5617977528089888	0.008823716117564908	0	0.916291
875	382	693	312	172	METR	3.051362551610522	6	121	0.049586776859504134	1.0413223140495869	0.008677685950413223	0	1.252763
900	356	646	291	165	METR	2.7596948189595514	5	108	0.05555555555555555	0.9814814814814815	0.009172724125995154	0	1.098612
925	397	726	330	190	METR	1.9721574440170146	6	161	0.08074534161490683	1.7018633540372672	0.01063664596273292	0	1.252763
950	472	868	397	225	METR	2.7222908315852026	6	240	0.058333333333333334	2.0083333333333333	0.008403068340306834	0	1.252763
975	480	890	411	256	METR	3.1709916906481785	6	269	0.08550185873605948	2.1784386617100373	0.008128502469067303	0	1.252763
1000	437	809	373	246	METR	3.055126988443038	5	257	0.08949416342412451	2.272373540856031	0.008876459143968871	0	1.098612
1025	430	797	368	259	METR	2.8924846604124106	5	255	0.054901960784313725	2.211764705882353	0.008707735062528948	0	1.098612
