epoch	V	phase	subphase	label
10	6	growth	-	SW
20	22	growth	-	SW
30	31	growth	-	SW
40	39	growth	-	SW
50	46	growth	-	SW
60	64	growth	-	SW
70	75	growth	-	SW
80	92	growth	-	SW
90	114	growth	-	SW
100	123	growth	-	SW
110	139	growth	-	SW
120	147	growth	-	SW
130	162	growth	-	SW
140	169	growth	-	SW
150	174	growth	-	SW
160	178	growth	-	SW
170	186	growth	-	SW
180	204	growth	-	SW
190	234	growth	-	SW
200	255	growth	-	SW
210	263	growth	-	SW
220	266	growth	-	SW
230	280	growth	-	SW
240	293	growth	-	SW
250	298	growth	-	SW
260	310	growth	-	SW
270	310	growth	-	SW
280	323	growth	-	SW
290	326	growth	-	SW
300	326	growth	-	SW
310	330	growth	-	SW
320	334	growth	-	SW
330	356	growth	-	SW
340	397	growth	-	SW
350	421	growth	-	SW
360	461	growth	-	SW
370	485	growth	-	SW
380	504	growth	-	SW
390	524	growth	-	SW
400	519	growth	-	SW
410	523	growth	-	SW
420	535	growth	-	SW
430	559	growth	-	SW
440	580	growth	-	SW
450	603	growth	-	SW
460	621	growth	-	METR
470	642	growth	-	METR
480	665	growth	-	METR
490	671	growth	-	METR
500	689	growth	-	METR
510	710	growth	-	METR
520	732	growth	-	METR
530	736	growth	-	METR
540	734	growth	-	SW
550	734	growth	-	METR
560	729	growth	-	METR
570	715	growth	-	METR
580	722	growth	-	METR
590	721	growth	-	METR
600	740	growth	-	METR
610	743	growth	-	METR
620	765	growth	-	METR
630	766	growth	-	METR
640	773	growth	-	METR
650	786	growth	-	METR
660	822	growth	-	METR
670	881	growth	-	METR
680	885	growth	-	METR
690	879	growth	-	METR
700	864	growth	-	METR
710	849	growth	-	METR
720	831	growth	-	METR
730	802	growth	-	METR
740	786	growth	-	METR
750	787	growth	-	METR
760	790	growth	-	METR
770	801	growth	-	METR
780	798	growth	-	METR
790	779	growth	-	METR
800	763	growth	-	METR
810	737	contraction	shedding	METR
820	713	contraction	shedding	METR
830	692	contraction	shedding	METR
840	687	contraction	shedding	METR
850	668	contraction	shedding	METR
860	633	contraction	shedding	METR
870	616	contraction	shedding	METR
880	599	contraction	shedding	METR
890	567	contraction	shedding	METR
900	552	contraction	shedding	METR
910	531	contraction	shedding	METR
920	528	contraction	shedding	METR
930	518	contraction	shedding	METR
940	485	contraction	shedding	METR
950	464	contraction	shedding	METR
960	448	contraction	shedding	METR
970	429	contraction	shedding	METR
980	407	contraction	shedding	METR
990	396	contraction	shedding	METR
1000	364	contraction	shedding	METR
1010	348	contraction	shedding	METR
1020	354	contraction	consolidation	METR
1030	362	contraction	consolidation	METR
1040	371	contraction	consolidation	METR
1050	354	contraction	consolidation	METR
1060	339	contraction	consolidation	METR
1070	319	contraction	consolidation	METR
1080	307	contraction	consolidation	METR
1090	311	contraction	consolidation	METR
1100	309	contraction	consolidation	METR
1110	316	contraction	consolidation	METR
1120	324	contraction	consolidation	METR
1130	322	contraction	consolidation	METR
1140	323	contraction	consolidation	METR
1150	322	contraction	consolidation	METR
1160	316	contraction	consolidation	METR
1170	297	contraction	consolidation	METR
1180	282	contraction	consolidation	METR
1190	285	contraction	consolidation	METR
1200	280	contraction	consolidation	METR
1210	293	contraction	consolidation	METR
1220	319	contraction	consolidation	METR
1230	326	contraction	consolidation	METR
1240	315	contraction	consolidation	METR
1250	315	contraction	consolidation	METR
1260	309	contraction	consolidation	METR
1270	308	contraction	consolidation	METR
1280	301	contraction	consolidation	METR
1290	298	contraction	consolidation	METR
1300	294	contraction	consolidation	METR
1310	297	contraction	consolidation	METR
1320	300	contraction	shedding	METR
1330	295	contraction	shedding	METR
1340	293	contraction	shedding	METR
1350	287	contraction	shedding	METR
1360	280	contraction	shedding	METR
1370	264	contraction	shedding	METR
1380	257	contraction	shedding	METR
1390	271	contraction	shedding	METR
1400	273	contraction	shedding	METR
1410	255	contraction	consolidation	METR
1420	242	contraction	consolidation	METR
1430	240	contraction	consolidation	METR
1440	242	contraction	consolidation	METR
1450	247	contraction	consolidation	METR
1460	248	contraction	consolidation	METR
1470	253	contraction	consolidation	METR
1480	252	contraction	consolidation	METR
1490	253	contraction	consolidation	METR
1500	254	contraction	consolidation	METR
