epoch	V	b1H	b1S	label	npts	d_cal	slope	wcont	occ2ecc
10	4	2	1	SW	0	nan	nan	nan	0.75
20	26	24	17	SW	1	nan	nan	0.3051163548281311	0.7307692307692307
30	52	50	37	SW	1	nan	nan	0.5430000555341385	0.75
40	68	66	51	SW	1	nan	nan	0.49211174470396346	0.7794117647058824
50	74	72	52	SW	1	nan	nan	0.426653216653478	0.7297297297297297
60	74	72	53	SW	1	nan	nan	0.4098683159801546	0.7432432432432432
70	78	76	62	SW	1	nan	nan	0.5231044403404681	0.8205128205128205
80	88	86	71	SW	1	nan	nan	0.629229397346406	0.8295454545454546
90	90	88	75	SW	1	nan	nan	0.6220171064734502	0.8555555555555555
100	98	96	84	SW	2	nan	nan	0.6799449367490107	0.8775510204081632
110	120	118	94	SW	2	nan	nan	0.7351959899520675	0.8
120	135	133	106	SW	2	nan	nan	0.824570231623371	0.8
130	149	147	112	SW	2	nan	nan	0.833232793135892	0.7651006711409396
140	155	153	116	SW	2	nan	nan	0.805310801854957	0.7612903225806451
150	160	158	125	SW	2	nan	nan	0.8219399094778892	0.79375
160	165	163	131	SW	2	nan	nan	0.8981773938966898	0.806060606060606
170	168	166	132	SW	1	nan	nan	0.774525597661813	0.7976190476190477
180	170	168	130	SW	1	nan	nan	0.785441607148726	0.7764705882352941
190	174	172	131	SW	1	nan	nan	0.8189832250144564	0.764367816091954
200	181	178	139	SW	1	nan	nan	0.85697023854235	0.7790055248618785
210	185	183	147	SW	1	nan	nan	1.0772245363898212	0.8054054054054054
220	199	197	156	SW	3	nan	nan	1.096814225658693	0.7939698492462312
230	216	214	170	SW	3	nan	nan	1.2275522569123416	0.7962962962962963
240	238	236	182	SW	2	nan	nan	1.2207278738030454	0.7773109243697479
250	245	243	185	SW	2	nan	nan	1.175794149427404	0.7673469387755102
260	259	257	188	SW	2	nan	nan	1.2913141159605233	0.7413127413127413
270	276	274	198	SW	2	nan	nan	1.3272396606850694	0.7355072463768116
280	283	281	201	SW	2	nan	nan	1.1879684493542626	0.7279151943462897
290	289	287	207	SW	3	nan	nan	1.1579373714845544	0.7370242214532872
300	296	293	211	SW	2	nan	nan	1.1443081090339122	0.7331081081081081
310	308	305	223	SW	2	nan	nan	1.267888173204694	0.7532467532467533
320	329	325	241	SW	3	nan	nan	1.3206485982113139	0.7598784194528876
330	348	344	247	SW	2	nan	nan	1.292717417813471	0.75
340	371	369	261	SW	3	nan	nan	1.3141387447707784	0.7466307277628033
350	375	373	262	SW	2	nan	nan	1.3031636816244851	0.744
360	372	369	260	SW	2	nan	nan	1.1617790438970088	0.75
370	369	366	252	SW	2	nan	nan	1.0939022524734525	0.7289972899728997
380	366	363	248	SW	2	nan	nan	1.033399310824292	0.7349726775956285
390	366	362	247	SW	2	nan	nan	0.9921260822350013	0.7377049180327869
400	362	358	235	SW	2	nan	nan	1.0317448761868768	0.7209944751381215
410	360	356	235	SW	2	nan	nan	1.1308177553399446	0.7333333333333333
420	367	363	235	SW	3	nan	nan	1.2095472798872264	0.7247956403269755
430	382	378	241	SW	3	nan	nan	1.1511675575320344	0.7146596858638743
440	384	380	240	SW	3	nan	nan	1.209480490250014	0.7005208333333334
450	381	376	234	SW	3	nan	nan	1.2524424061779507	0.7139107611548556
460	384	379	226	SW	3	nan	nan	1.2565354174202898	0.6901041666666666
470	366	358	206	SW	3	nan	nan	1.3298557747323319	0.6639344262295082
480	362	351	189	SW	2	nan	nan	1.3020888019498504	0.6353591160220995
490	356	340	175	SW	3	nan	nan	1.2530950293986303	0.6179775280898876
500	376	357	189	SW	3	nan	nan	1.3186219401389376	0.6143617021276596
510	377	354	197	METR	4	2.7644147781746735	2.082207389087337	1.4335925881685645	0.6339522546419099
