epoch	V	b1H	b1S	label	npts	d_cal	slope	wcont	occ2ecc
10	11	9	7	SW	0	nan	nan	0.02621029944618949	0.8181818181818182
20	20	18	15	SW	1	nan	nan	0.18585485061843346	0.85
30	32	30	23	SW	1	nan	nan	0.44508632043237656	0.78125
40	38	36	27	SW	1	nan	nan	0.46577670478287514	0.7631578947368421
50	72	70	51	SW	1	nan	nan	0.6796569177438206	0.7361111111111112
60	88	86	64	SW	1	nan	nan	0.6494800466553321	0.75
70	95	93	69	SW	1	nan	nan	0.6205880315579031	0.7473684210526316
80	119	117	85	SW	1	nan	nan	0.7206242920321073	0.7310924369747899
90	142	140	110	SW	1	nan	nan	0.8014038863660946	0.7887323943661971
100	164	162	134	SW	1	nan	nan	0.8569580866799588	0.8292682926829268
110	193	191	158	SW	2	nan	nan	0.9030607615500772	0.8290155440414507
120	243	241	184	SW	2	nan	nan	0.9626101827627652	0.7654320987654321
130	266	264	200	SW	2	nan	nan	1.0156945201338676	0.7593984962406015
140	288	286	223	SW	2	nan	nan	0.979703909486504	0.78125
150	305	303	241	SW	2	nan	nan	1.020692205404484	0.7967213114754098
160	319	317	258	SW	2	nan	nan	0.9860429623843672	0.8150470219435737
170	336	334	277	SW	2	nan	nan	1.072560822823684	0.8303571428571429
180	343	341	288	SW	2	nan	nan	1.0434883514656677	0.8454810495626822
190	346	344	290	SW	2	nan	nan	1.0356172518664797	0.8439306358381503
200	361	359	296	SW	2	nan	nan	1.1568177544243754	0.8254847645429363
210	389	387	323	SW	3	nan	nan	1.1762876197572614	0.8380462724935732
220	436	434	349	SW	3	nan	nan	1.193004297745417	0.8073394495412844
230	451	449	354	SW	3	nan	nan	1.2219075999247107	0.7960088691796009
240	466	464	360	SW	2	nan	nan	1.1916296441094587	0.7832618025751072
250	471	469	364	SW	2	nan	nan	1.1212048287858594	0.7876857749469215
260	479	477	362	SW	2	nan	nan	1.1552017216674204	0.778705636743215
270	504	502	375	SW	3	nan	nan	1.2508337158518068	0.7698412698412699
280	523	520	380	SW	3	nan	nan	1.2577421020913664	0.7533460803059273
290	523	518	378	SW	3	nan	nan	1.258630213034202	0.751434034416826
300	534	529	373	SW	3	nan	nan	1.2311670145653955	0.7322097378277154
310	545	539	374	SW	3	nan	nan	1.2368721745059474	0.7339449541284404
320	553	545	381	SW	3	nan	nan	1.2444105288498994	0.7396021699819169
330	588	581	413	SW	3	nan	nan	1.3394942273510875	0.7636054421768708
340	611	601	430	SW	3	nan	nan	1.322555432407252	0.7708674304418985
350	615	604	421	SW	3	nan	nan	1.2966220337787078	0.7544715447154472
360	606	595	417	SW	3	nan	nan	1.307009420722467	0.7656765676567657
370	615	603	413	SW	3	nan	nan	1.2596403917927088	0.7479674796747967
380	615	601	411	SW	3	nan	nan	1.2654133800651555	0.7447154471544716
390	616	603	409	SW	3	nan	nan	1.2732215435984984	0.7435064935064936
400	614	602	394	SW	3	nan	nan	1.271160604429513	0.7280130293159609
410	615	598	383	SW	3	nan	nan	1.2716222005299902	0.7056910569105691
420	618	599	385	SW	3	nan	nan	1.274364548557049	0.7119741100323624
430	631	615	403	SW	3	nan	nan	1.3126481657104003	0.7305863708399366
440	618	601	402	SW	3	nan	nan	1.3788903876726102	0.7443365695792881
450	601	579	397	SW	3	nan	nan	1.3370151087942868	0.7603993344425957
460	599	575	385	SW	3	nan	nan	1.3386394490395814	0.7495826377295493
470	588	560	359	SW	3	nan	nan	1.3608579060954464	0.7108843537414966
480	588	552	345	SW	3	nan	nan	1.3517527765204027	0.6836734693877551
490	586	548	344	METR	4	3.0722685763308037	2.236134288165402	1.4335927437936602	0.6843003412969283
500	585	545	342	METR	4	2.9711449977121838	2.185572498856092	1.3931317791971796	0.6871794871794872
510	614	573	343	METR	4	2.8890344332852687	2.1445172166426345	1.4010901571413827	0.6644951140065146
520	601	559	338	SW	3	nan	nan	1.3614825089869353	0.6738768718801996
530	590	548	334	METR	4	4.216396876712215	2.8081984383561083	1.4049545880087573	0.6915254237288135
540	579	539	335	METR	4	4.124773696275515	2.7623868481377576	1.3918473748229534	0.7081174438687392
550	559	518	329	SW	3	nan	nan	1.3590085492528108	0.7280858676207513
560	561	517	323	METR	4	4.263460287922707	2.8317301439613543	1.4147618975610436	0.714795008912656
570	554	504	320	SW	3	nan	nan	1.3922709827775015	0.7166064981949458
580	543	495	325	SW	3	nan	nan	1.3915591211252842	0.7366482504604052
590	538	488	331	SW	3	nan	nan	1.4195313932339653	0.758364312267658
600	553	503	342	METR	4	3.913994807615199	2.6569974038076	1.4938023515864647	0.7576853526220615
610	564	513	352	METR	4	3.4395819151625515	2.419790957581276	1.5474441824699796	0.75177304964539
620	597	541	359	METR	4	3.480883577565284	2.440441788782642	1.5128881696052972	0.7236180904522613
630	604	546	372	METR	4	3.2419588313181755	2.320979415659088	1.4985403837659523	0.7466887417218543
640	608	551	369	METR	4	3.821463562508527	2.610731781254264	1.5386044400931838	0.7401315789473685
650	648	591	382	METR	4	3.894070339481597	2.647035169740799	1.5793577976151654	0.720679012345679
660	710	652	419	METR	4	3.7686835315230343	2.5843417657615175	1.5416724685717569	0.7076271186440678
670	763	700	462	METR	4	4.055987755082457	2.727993877541229	1.547011977993626	0.7103538663171691
680	777	711	479	METR	5	3.938299816266635	2.669149908133318	1.615918060410819	0.7232947232947233
690	778	706	480	SW	3	nan	nan	1.5801639670029006	0.7313624678663239
700	768	694	477	METR	4	3.9592878843325123	2.6796439421662566	1.5585286511524983	0.73828125
710	758	685	473	SW	3	nan	nan	1.5270058374663098	0.7506596306068601
720	742	669	465	SW	3	nan	nan	1.4072760440767194	0.7641509433962265
730	731	658	458	SW	3	nan	nan	1.4420913601279204	0.7647058823529411
740	719	650	451	METR	4	4.0859844436170185	2.74299222180851	1.3781116783553615	0.7677329624478443
750	707	641	437	SW	3	nan	nan	1.306115199007415	0.75
760	689	622	418	SW	3	nan	nan	1.2864432593872746	0.7405247813411079
770	684	616	411	SW	3	nan	nan	1.4158199193713414	0.7368421052631579
780	668	599	395	SW	3	nan	nan	1.5065481221013983	0.7275449101796407
790	663	591	368	METR	4	4.2518005776453105	2.825900288822656	1.5052127372881294	0.698340874811463
800	644	567	330	METR	4	4.061194244361719	2.7305971221808596	1.480929031065265	0.6464174454828661
810	627	559	295	METR	4	3.910082413183923	2.655041206591962	1.4644516908060428	0.5984
820	593	519	262	METR	4	3.8462846222590916	2.623142311129546	1.4512259486345733	0.5564924114671164
830	556	478	238	METR	4	4.142788009855277	2.7713940049276387	1.5684619103026343	0.5451263537906137
840	511	439	217	METR	4	4.012623865639666	2.7063119328198333	1.6060803086351736	0.547945205479452
850	469	396	209	METR	4	3.7668543194505406	2.5834271597252707	1.6168102372841053	0.5863539445628998
860	431	359	196	METR	5	3.3907579798701377	2.395378989935069	1.6455054794960469	0.6334106728538283
870	400	327	179	METR	6	3.243690563366223	2.3218452816831117	1.5888761499661324	0.665
880	378	303	171	METR	6	2.923010015159928	2.161505007579964	1.6197804299296192	0.6957671957671958
