epoch	V	b1H	b1S	label	npts	d_cal	slope	wcont	occ2ecc
10	6	4	2	SW	0	nan	nan	nan	0.6666666666666666
20	25	23	15	SW	1	nan	nan	0.326501764599951	0.68
30	48	46	36	SW	1	nan	nan	0.5439859060466401	0.7916666666666666
40	69	67	51	SW	1	nan	nan	0.5924451859239113	0.7681159420289855
50	74	72	56	SW	1	nan	nan	0.5995429774488036	0.7837837837837838
60	76	74	58	SW	1	nan	nan	0.6006332179351581	0.7894736842105263
70	86	84	64	SW	1	nan	nan	0.6820273853851153	0.7674418604651163
80	110	108	80	SW	2	nan	nan	0.9045744851977862	0.7454545454545455
90	115	113	82	SW	2	nan	nan	0.9082364974731717	0.7304347826086957
100	121	119	87	SW	2	nan	nan	0.9161986416479383	0.7355371900826446
110	129	127	95	SW	1	nan	nan	0.893511670175218	0.751937984496124
120	137	135	100	SW	2	nan	nan	0.9040422874097047	0.7445255474452555
130	152	150	111	SW	2	nan	nan	0.9582214137892293	0.743421052631579
140	163	161	118	SW	2	nan	nan	1.011622556143443	0.7361963190184049
150	185	183	134	SW	2	nan	nan	1.085044931112334	0.7351351351351352
160	209	207	141	SW	2	nan	nan	1.0249519528700315	0.6842105263157895
170	220	218	132	SW	2	nan	nan	1.0218915303104392	0.6090909090909091
180	212	210	125	SW	2	nan	nan	1.0127903109336192	0.5990566037735849
190	192	190	116	SW	3	nan	nan	1.12231069243362	0.6145833333333334
200	179	176	118	SW	2	nan	nan	1.0341200649930251	0.6703910614525139
210	185	183	122	SW	2	nan	nan	1.0785754836151935	0.6702702702702703
220	187	185	117	SW	2	nan	nan	1.080236438569909	0.6417112299465241
230	183	181	111	SW	2	nan	nan	1.0746512910471286	0.6284153005464481
240	173	171	110	SW	2	nan	nan	1.0346659550469854	0.653179190751445
250	161	159	109	SW	2	nan	nan	0.9724311777854001	0.6894409937888198
260	177	175	119	SW	2	nan	nan	0.8979905786644701	0.6836158192090396
270	182	180	118	SW	2	nan	nan	0.964884968871677	0.6593406593406593
280	180	178	119	SW	2	nan	nan	0.9688055437884698	0.6722222222222223
290	174	171	109	SW	2	nan	nan	1.0184675109090517	0.6379310344827587
300	188	186	109	SW	2	nan	nan	1.0807552657895	0.5904255319148937
310	194	191	113	SW	3	nan	nan	1.1493722266198914	0.5979381443298969
320	174	171	109	SW	3	nan	nan	1.1633916333019572	0.6436781609195402
330	175	173	117	SW	2	nan	nan	1.063057112941942	0.6857142857142857
340	172	170	118	SW	2	nan	nan	1.0888583282619988	0.6976744186046512
350	172	170	122	SW	2	nan	nan	1.0410939899440046	0.7209302325581395
360	175	173	123	SW	2	nan	nan	1.0457789797296926	0.72
370	175	173	123	SW	2	nan	nan	1.0833189431301435	0.72
380	173	170	129	SW	2	nan	nan	1.0604993722675884	0.7572254335260116
390	169	167	126	SW	2	nan	nan	1.0375937246801292	0.757396449704142
400	175	173	122	SW	2	nan	nan	1.0185080104800386	0.7085714285714285
410	180	178	122	SW	2	nan	nan	0.9984765551763709	0.6888888888888889
420	165	163	114	SW	1	nan	nan	0.9980831999421531	0.703030303030303
430	160	158	111	SW	1	nan	nan	1.0379754364197253	0.70625
440	162	160	107	SW	2	nan	nan	1.0398913684188649	0.6728395061728395
450	159	157	100	SW	2	nan	nan	0.9922301714463884	0.6477987421383647
460	159	157	93	SW	2	nan	nan	0.9699155112834649	0.610062893081761
470	150	147	93	SW	2	nan	nan	0.9754177916998561	0.6466666666666666
480	141	139	86	SW	2	nan	nan	0.9794568549949274	0.624113475177305
490	156	154	87	SW	2	nan	nan	1.056414436340579	0.5705128205128205
500	170	168	91	SW	3	nan	nan	1.1446474992033975	0.5470588235294118
510	184	182	106	SW	3	nan	nan	1.142773368531675	0.592391304347826
520	203	201	129	SW	3	nan	nan	1.1667467524782602	0.645320197044335
530	215	213	137	SW	3	nan	nan	1.1650431488044066	0.6511627906976745
540	222	220	137	SW	3	nan	nan	1.1632729637656067	0.6351351351351351
550	215	213	139	SW	2	nan	nan	1.1077874299092354	0.6604651162790698
560	218	215	140	SW	2	nan	nan	0.9514167468204454	0.6559633027522935
570	214	212	138	SW	2	nan	nan	0.8754175800328726	0.6542056074766355
580	213	211	136	SW	2	nan	nan	0.8712238798819687	0.647887323943662
590	210	208	137	SW	2	nan	nan	0.9051281213049766	0.6619047619047619
600	213	211	139	SW	1	nan	nan	1.038218063963202	0.6619718309859155
610	223	221	145	SW	2	nan	nan	1.0514109470525164	0.6591928251121076
620	228	226	148	SW	2	nan	nan	0.9966500265392094	0.6578947368421053
630	222	220	146	SW	2	nan	nan	0.9545519529300941	0.6666666666666666
640	221	219	143	SW	2	nan	nan	0.8525363605770412	0.6561085972850679
650	216	214	132	SW	2	nan	nan	0.8535596990584235	0.625
660	221	218	120	SW	2	nan	nan	0.9366008053004313	0.5520361990950227
670	226	224	121	SW	3	nan	nan	1.2835621852100167	0.5442477876106194
680	219	217	122	SW	3	nan	nan	1.3312970743987036	0.5707762557077626
690	189	187	122	SW	2	nan	nan	1.096311123466217	0.6613756613756614
700	183	181	126	SW	2	nan	nan	1.0719974247483501	0.7049180327868853
710	188	186	129	SW	2	nan	nan	1.0288616915125293	0.7021276595744681
720	191	189	130	SW	2	nan	nan	0.955858727779849	0.6910994764397905
730	191	189	131	SW	2	nan	nan	0.9200617220987057	0.6963350785340314
740	197	195	129	SW	2	nan	nan	0.9431691326897313	0.6649746192893401
750	198	196	124	SW	2	nan	nan	0.9775442140878257	0.6464646464646465
760	192	190	113	SW	2	nan	nan	0.9855564830121987	0.609375
770	202	199	119	SW	2	nan	nan	1.0327343242505183	0.599009900990099
780	202	200	120	SW	2	nan	nan	1.0113605548566322	0.6039603960396039
790	209	207	124	SW	2	nan	nan	0.972897885511165	0.6028708133971292
800	207	205	124	SW	2	nan	nan	0.9785276702246365	0.6086956521739131
810	183	181	110	SW	2	nan	nan	0.9520967426105303	0.6120218579234973
820	196	194	104	SW	2	nan	nan	1.0190909536503459	0.5408163265306123
830	203	201	118	SW	3	nan	nan	1.3526418912712757	0.5960591133004927
840	169	166	111	SW	2	nan	nan	1.0448599264245684	0.6686390532544378
850	158	156	112	SW	1	nan	nan	1.0506880355577937	0.7215189873417721
860	148	146	110	SW	1	nan	nan	0.9044641885505991	0.7635135135135135
870	162	160	114	SW	3	nan	nan	1.132536384852362	0.7222222222222222
880	179	177	129	SW	2	nan	nan	1.092286456467832	0.7374301675977654
890	204	202	150	SW	2	nan	nan	1.0177249881378485	0.7450980392156863
900	214	212	154	SW	2	nan	nan	1.017378522124997	0.7289719626168224
910	213	211	147	SW	2	nan	nan	1.0414590642453438	0.6995305164319249
920	212	210	142	SW	2	nan	nan	1.0439468971279964	0.6792452830188679
930	211	209	136	SW	2	nan	nan	1.0557620836156485	0.6540284360189573
940	195	193	132	SW	2	nan	nan	0.9907446171708422	0.6871794871794872
950	201	199	134	SW	3	nan	nan	1.116919833103604	0.6766169154228856
960	197	195	124	SW	2	nan	nan	1.0838086540965148	0.6446700507614214
970	193	191	116	SW	2	nan	nan	1.0902105590255604	0.6113989637305699
980	197	195	118	SW	3	nan	nan	1.0974176744146247	0.6142131979695431
990	182	180	126	SW	2	nan	nan	0.945855276640601	0.7087912087912088
1000	169	167	125	SW	2	nan	nan	0.8745509175795172	0.7514792899408284
1010	169	167	118	SW	2	nan	nan	0.8645199268890406	0.7100591715976331
1020	171	169	113	SW	2	nan	nan	0.9898109488916805	0.672514619883041
1030	159	157	101	SW	2	nan	nan	1.0720424199451999	0.6477987421383647
1040	158	156	92	SW	3	nan	nan	1.100763511392269	0.6012658227848101
1050	156	154	99	SW	2	nan	nan	1.0906771863610265	0.6602564102564102
1060	146	144	104	SW	2	nan	nan	1.0054731228397173	0.726027397260274
1070	148	146	108	SW	2	nan	nan	0.989377597303072	0.7432432432432432
1080	152	150	107	SW	2	nan	nan	0.9851433969518261	0.7171052631578947
1090	168	166	114	SW	3	nan	nan	1.1077184223293404	0.6904761904761905
1100	174	172	122	SW	2	nan	nan	1.09216843190596	0.7126436781609196
1110	175	173	122	SW	2	nan	nan	1.1690490350668306	0.7085714285714285
1120	172	170	121	SW	2	nan	nan	1.0515921054386874	0.7209302325581395
1130	181	179	117	SW	2	nan	nan	1.1073277420339558	0.6574585635359116
1140	176	174	118	SW	2	nan	nan	1.0806157587370901	0.6875
1150	176	174	119	SW	2	nan	nan	1.0480078357423968	0.6931818181818182
1160	185	182	123	SW	2	nan	nan	1.0369940386773744	0.6756756756756757
1170	196	194	133	SW	2	nan	nan	1.0540550031591827	0.6887755102040817
1180	214	212	139	SW	2	nan	nan	1.0185712097555284	0.6588785046728972
1190	219	217	141	SW	2	nan	nan	1.0798565248731815	0.6529680365296804
1200	225	223	138	SW	3	nan	nan	1.1690636386027173	0.6222222222222222
1210	226	224	136	SW	3	nan	nan	1.1390628109906733	0.6106194690265486
