epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	26	49	24	19	SW	nan	1	24	1.0	7.833333333333333	0.34057971014492755	0
50	62	121	60	51	SW	nan	1	60	1.0	8.666666666666666	0.14689265536723164	0
75	83	163	81	69	SW	nan	2	81	1.0	8.839506172839506	0.11049382716049383	0
100	116	229	114	89	SW	nan	2	114	1.0	9.912280701754385	0.08771929824561403	0
125	147	291	145	119	SW	nan	2	145	1.0	10.289655172413793	0.071455938697318	0
150	164	325	162	133	SW	nan	2	162	1.0	10.753086419753087	0.0667893566444291	0
175	191	379	189	156	SW	nan	2	189	1.0	10.984126984126984	0.05842620736237757	0
200	210	417	208	170	SW	nan	2	206	1.0	11.029126213592233	0.05380061567605968	0
225	252	499	248	209	SW	nan	3	229	1.0	10.131004366812228	0.04443422967900099	0
250	307	609	303	238	SW	nan	3	265	1.0	10.39245283018868	0.039365351629502575	0
275	314	624	311	248	SW	nan	3	238	0.9873949579831933	8.521008403361344	0.035953621955111155	0
300	416	828	413	309	SW	nan	3	284	0.9894366197183099	7.774647887323944	0.027472254018812522	0
325	477	946	470	357	SW	nan	3	280	0.9821428571428571	6.928571428571429	0.024833589349718382	0
350	523	1038	516	390	SW	nan	3	299	0.9665551839464883	6.909698996655519	0.02318690938475006	0
375	541	1071	531	388	SW	nan	3	261	0.9195402298850575	5.555555555555555	0.021367521367521368	0
400	603	1194	592	438	METR	5.163903853225148	4	310	0.9096774193548387	5.95483870967742	0.01927132268504019	0
425	660	1307	648	451	METR	5.551053537530427	4	314	0.9203821656050956	6.019108280254777	0.019230377892187785	0
450	667	1304	638	430	METR	5.474434800456022	4	285	0.9298245614035088	5.36140350877193	0.018878181368915246	0
475	651	1256	606	392	SW	nan	3	248	0.8346774193548387	4.645161290322581	0.018806321013451744	0
500	640	1214	575	360	SW	nan	3	187	0.6577540106951871	3.197860962566845	0.017192800874015295	0
525	622	1168	547	350	SW	nan	3	163	0.5460122699386503	2.4539877300613497	0.015148072407786109	0
550	629	1173	545	331	SW	nan	3	148	0.581081081081081	2.2972972972972974	0.015627872770729915	0
575	584	1065	482	289	SW	nan	3	126	0.49206349206349204	2.2222222222222223	0.017777777777777778	0
600	522	935	414	270	SW	nan	3	110	0.5545454545454546	2.2545454545454544	0.020683903252710592	0
625	491	872	382	250	SW	nan	3	101	0.31683168316831684	2.0	0.02	0
650	476	834	359	232	SW	nan	3	89	0.20224719101123595	1.8202247191011236	0.020684371807967315	0
675	448	763	316	207	SW	nan	3	79	0.16455696202531644	1.7215189873417722	0.02207075624797144	0
700	419	699	281	175	SW	nan	3	68	0.1323529411764706	1.6764705882352942	0.02502194907813872	0
725	419	707	289	168	METR	3.787906186803093	4	77	0.18181818181818182	2.0259740259740258	0.026657552973342446	0
750	377	627	251	153	METR	4.339241551186668	4	58	0.22413793103448276	1.9310344827586208	0.0338777979431337	0
775	347	567	221	130	METR	4.162515763416877	4	46	0.2391304347826087	1.7391304347826086	0.03864734299516908	0
800	317	508	192	119	SW	nan	3	42	0.3333333333333333	2.0	0.04878048780487805	0
825	292	466	175	118	METR	2.9637367881582186	4	46	0.41304347826086957	2.260869565217391	0.050241545893719805	0
850	288	464	177	118	METR	3.5375732128967234	5	54	0.4074074074074074	2.2222222222222223	0.041928721174004195	0
875	259	415	157	104	METR	3.335842390556339	5	60	0.6333333333333333	2.566666666666667	0.04350282485875706	0
900	247	404	158	114	METR	3.698891516894571	4	68	0.5882352941176471	3.0	0.04477611940298507	0
