epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	35	67	33	27	SW	nan	1	33	1.0	8.606060606060606	0.2689393939393939	0
50	74	145	72	52	SW	nan	1	72	1.0	8.61111111111111	0.12128325508607199	0
75	83	163	81	66	SW	nan	1	81	1.0	8.148148148148149	0.10185185185185185	0
100	98	193	96	84	SW	nan	2	96	1.0	7.458333333333333	0.07850877192982456	0
125	146	289	144	111	SW	nan	2	144	1.0	6.375	0.044580419580419584	0
150	160	317	158	125	SW	nan	2	158	1.0	6.1645569620253164	0.03926469402563896	0
175	168	333	166	132	SW	nan	1	161	1.0	6.136645962732919	0.03835403726708075	0
200	181	358	178	139	SW	nan	1	170	1.0	5.752941176470588	0.03404107205012182	0
225	210	417	208	165	SW	nan	3	199	0.9949748743718593	5.256281407035176	0.02654687579310695	0
250	245	487	243	185	SW	nan	2	222	0.990990990990991	4.684684684684685	0.021197668256491786	0
275	284	565	282	202	SW	nan	2	242	0.9710743801652892	4.132231404958677	0.017146188402318165	0
300	296	588	293	211	SW	nan	2	245	0.9428571428571428	3.7877551020408164	0.015523586483773838	0
325	339	672	334	243	SW	nan	3	280	0.8892857142857142	3.692857142857143	0.01323604710701485	0
350	375	747	373	262	SW	nan	2	302	0.7947019867549668	3.2450331125827816	0.010780840905590635	0
375	366	728	363	250	SW	nan	2	281	0.6583629893238434	2.868327402135231	0.010244026436197255	0
400	362	719	358	235	SW	nan	2	250	0.172	2.384	0.00957429718875502	0
425	376	747	372	236	SW	nan	3	248	0.17338709677419356	2.2096774193548385	0.008946062426537808	0
450	381	756	376	234	SW	nan	3	240	0.17916666666666667	2.066666666666667	0.008647140864714086	0
475	360	710	351	192	SW	nan	2	189	0.14814814814814814	1.7671957671957672	0.009399977485083868	0
500	376	732	357	189	SW	nan	3	194	0.12371134020618557	1.731958762886598	0.008973879600448695	0
525	385	739	355	210	METR	2.9103744205821966	4	208	0.052884615384615384	1.7596153846153846	0.008500557413600892	0
550	352	671	320	213	SW	nan	3	190	0.06315789473684211	1.6842105263157894	0.008911166805903648	0
575	337	643	307	210	SW	nan	3	178	0.06741573033707865	1.6741573033707866	0.009458515838253032	0
600	353	669	317	228	SW	nan	3	201	0.06467661691542288	1.681592039800995	0.008407960199004975	0
625	392	747	356	262	METR	3.37658596587816	4	240	0.0625	1.7666666666666666	0.007391910739191074	0
650	411	786	376	261	METR	3.7853583268255453	4	250	0.06	1.744	0.007004016064257028	0
675	409	781	373	266	SW	nan	3	240	0.0625	1.6416666666666666	0.006868898186889819	0
700	408	774	367	264	METR	3.668925249886295	4	238	0.06302521008403361	1.6134453781512605	0.006807786405701521	0
725	444	844	401	275	METR	3.4845228173595375	4	260	0.038461538461538464	1.5384615384615385	0.00594000594000594	0
750	467	890	424	286	SW	nan	3	275	0.04	1.5854545454545454	0.005786330457863305	0
775	467	889	423	286	METR	3.921719916620282	4	267	0.04119850187265917	1.5730337078651686	0.0059136605558840925	0
800	467	884	418	284	METR	3.852357781351668	4	262	0.04580152671755725	1.5267175572519085	0.005849492556520721	0
825	480	910	431	305	METR	3.429117842089857	4	279	0.043010752688172046	1.6487455197132617	0.005930739279544107	0
850	518	983	466	329	METR	3.510924770483542	4	311	0.04823151125401929	1.7363344051446945	0.005601078726273208	0
875	542	1021	480	329	METR	3.7659864115013835	4	319	0.047021943573667714	1.8746081504702194	0.0058949941838686145	0
900	528	994	467	312	SW	nan	3	291	0.054982817869415807	1.8556701030927836	0.006398862424457874	0
925	507	945	439	305	SW	nan	3	279	0.05734767025089606	1.8136200716845878	0.006523813207498517	0
950	492	917	426	296	SW	nan	3	260	0.07307692307692308	1.7153846153846153	0.006623106623106623	0
975	495	919	425	298	METR	3.4994829369024307	4	263	0.06844106463878327	1.7642585551330798	0.006733811279133892	0
1000	488	896	409	274	METR	3.2623352504977756	4	238	0.07563025210084033	1.5546218487394958	0.00655958585966032	0
1025	461	837	377	235	SW	nan	3	201	0.0845771144278607	1.373134328358209	0.006865671641791045	0
1050	421	760	340	212	METR	3.3702820293633264	4	168	0.05952380952380952	1.1785714285714286	0.007057313943541489	0
1075	401	714	314	199	METR	3.3449397668235994	4	150	0.03333333333333333	1.0133333333333334	0.006800894854586129	0
1100	375	656	282	184	METR	3.3541925679248727	4	135	0.037037037037037035	0.9185185185185185	0.006854615809839691	0
1125	346	594	249	144	METR	3.5527493505239605	4	105	0.047619047619047616	0.7619047619047619	0.007326007326007326	0
1150	336	576	241	134	METR	2.7519348400036714	4	98	0.04081632653061224	0.6938775510204082	0.0071533768146433835	0
1175	300	503	204	119	METR	2.8602743727044126	4	78	0.07692307692307693	0.717948717948718	0.009324009324009324	0
1200	261	434	174	104	METR	2.797253678402953	4	72	0.09722222222222222	0.8611111111111112	0.012128325508607199	0
