cycle_id	birth	death	lifetime	died_by	len
0	6	379	373	new	3
1	7	276	269	new	3
2	9	301	292	new	3
3	9	334	325	new	3
4	10	244	234	new	3
5	11	280	269	new	3
6	11	389	378	new	3
7	11	276	265	path	3
8	11	306	295	new	3
9	12	271	259	new	3
10	12	372	360	path	3
11	13	273	260	new	3
12	13	446	433	new	3
13	15	250	235	new	3
14	15	391	376	new	3
15	16	239	223	new	3
16	17	366	349	new	3
17	17	321	304	new	3
18	17	290	273	new	3
19	18	250	232	new	3
20	18	197	179	new	3
21	19	280	261	new	3
22	20	262	242	new	3
23	20	207	187	new	3
24	21	379	358	path	3
25	21	250	229	path	3
26	21	261	240	new	3
27	21	251	230	new	3
28	23	447	424	path	3
29	23	276	253	path	3
30	23	229	206	new	3
31	23	184	161	new	3
32	25	393	368	path	3
33	26	306	280	path	3
34	26	276	250	path	3
35	26	276	250	path	3
36	26	350	324	new	3
37	26	246	220	new	3
38	26	193	167	new	3
39	26	330	304	new	3
40	26	199	173	new	3
41	26	195	169	new	3
42	27	249	222	new	3
43	27	206	179	new	3
44	27	209	182	new	3
45	27	208	181	new	3
46	27	276	249	path	3
47	28	264	236	new	3
48	28	238	210	new	3
49	28	389	361	path	3
50	28	459	431	new	3
51	28	286	258	new	3
52	28	370	342	new	3
53	29	273	244	path	3
54	29	205	176	new	3
55	29	199	170	new	3
56	29	216	187	new	3
57	30	224	194	new	3
58	30	506	476	new	3
59	30	177	147	new	3
60	30	232	202	new	3
61	30	345	315	new	3
62	31	395	364	new	3
63	31	232	201	new	3
64	31	301	270	path	3
65	32	388	356	new	3
66	32	369	337	new	3
67	32	408	376	new	3
68	32	289	257	new	3
69	32	389	357	new	3
70	32	188	156	new	3
71	32	362	330	new	3
72	33	366	333	path	3
73	33	166	133	new	3
74	33	244	211	path	3
75	34	168	134	new	3
76	34	255	221	new	3
77	34	328	294	path	3
78	34	167	133	new	3
79	34	381	347	new	3
80	34	276	242	path	3
81	35	343	308	new	3
82	35	262	227	path	3
83	35	353	318	new	3
84	35	182	147	new	3
85	36	366	330	path	3
86	36	226	190	new	3
87	36	259	223	new	3
88	37	379	342	path	3
89	37	289	252	path	3
90	37	330	293	new	3
91	37	312	275	new	3
92	38	345	307	new	3
93	38	327	289	new	3
94	38	256	218	new	3
95	39	175	136	new	3
96	39	250	211	path	3
97	39	206	167	new	3
98	39	173	134	new	3
99	39	698	659	new	3
100	40	289	249	path	3
101	40	350	310	path	3
102	40	306	266	path	3
103	40	374	334	new	3
104	40	372	332	path	3
105	40	262	222	new	3
106	40	334	294	path	3
107	41	263	222	new	3
108	41	263	222	new	3
109	41	325	284	path	3
110	41	238	197	new	3
111	41	280	239	new	3
112	41	246	205	path	3
113	41	184	143	new	3
114	41	310	269	new	3
115	41	367	326	new	3
116	41	249	208	new	3
117	41	193	152	new	3
118	41	175	134	new	3
119	41	174	133	new	3
120	42	307	265	new	3
121	42	218	176	new	3
122	42	310	268	new	3
123	42	264	222	new	3
124	42	372	330	path	3
125	43	234	191	new	3
126	43	216	173	new	3
127	43	194	151	new	3
128	44	290	246	path	3
129	44	320	276	path	3
130	44	196	152	new	3
131	44	180	136	new	3
132	44	331	287	new	3
133	44	178	134	new	3
134	44	379	335	path	3
135	45	236	191	new	3
136	45	239	194	path	3
137	45	452	407	new	3
138	45	203	158	new	3
139	45	239	194	path	3
140	45	715	670	path	3
141	45	249	204	path	3
142	46	280	234	new	3
143	46	265	219	new	3
144	46	324	278	new	3
145	46	272	226	path	3
146	46	294	248	new	3
147	46	263	217	path	3
148	46	334	288	new	3
149	47	250	203	path	3
150	47	224	177	new	3
151	47	250	203	path	3
152	47	181	134	new	3
153	47	255	208	path	3
154	48	182	134	new	3
155	48	492	444	path	3
156	48	225	177	new	3
157	48	280	232	path	3
158	49	366	317	path	3
159	49	196	147	new	3
160	49	185	136	new	3
161	49	236	187	new	3
162	49	212	163	new	3
163	49	197	148	new	3
164	49	258	209	new	3
165	49	301	252	path	3
166	50	183	133	new	3
167	50	269	219	new	3
168	50	440	390	new	3
169	50	521	471	path	3
170	50	280	230	path	3
171	50	215	165	new	3
172	50	271	221	path	3
173	50	341	291	new	3
174	51	224	173	new	3
175	51	234	183	new	3
176	52	432	380	new	3
177	52	447	395	new	3
178	52	323	271	new	3
179	53	272	219	new	3
180	53	275	222	new	3
181	53	380	327	new	3
182	53	239	186	new	3
183	53	218	165	new	3
184	54	391	337	path	3
185	55	258	203	new	3
186	56	264	208	path	3
187	56	204	148	new	3
188	56	281	225	new	3
189	57	273	216	new	3
190	57	239	182	new	3
191	58	204	146	new	3
192	58	238	180	new	3
193	61	276	215	path	3
194	61	306	245	path	3
195	63	262	199	path	3
196	64	222	158	new	3
197	65	273	208	new	3
198	69	282	213	new	3
199	70	379	309	path	3
200	70	386	316	new	3
201	70	277	207	new	3
202	70	215	145	new	3
203	70	204	134	new	3
204	71	406	335	new	3
205	72	226	154	new	3
206	72	206	134	new	3
207	72	400	328	new	3
208	72	324	252	new	3
209	73	207	134	new	3
210	74	488	414	new	3
211	74	370	296	new	3
212	74	263	189	path	3
213	74	315	241	new	3
214	75	450	375	new	3
215	75	269	194	new	3
216	75	397	322	path	3
217	76	279	203	new	3
218	76	299	223	new	3
219	76	417	341	new	3
220	76	381	305	path	3
221	80	391	311	path	3
222	80	408	328	path	3
223	80	685	605	new	3
224	80	214	134	new	3
225	80	247	167	new	3
226	82	264	182	new	3
227	82	234	152	new	3
228	83	217	134	new	3
229	84	268	184	new	3
230	84	297	213	new	3
231	85	221	136	new	3
232	85	242	157	new	3
233	85	268	183	new	3
234	85	412	327	path	3
235	85	301	216	new	3
236	86	310	224	path	3
237	86	421	335	path	3
238	86	318	232	new	3
239	86	301	215	path	3
240	86	374	288	new	3
241	86	290	204	path	3
242	87	231	144	new	3
243	87	221	134	new	3
244	88	246	158	new	3
245	88	353	265	path	3
246	89	438	349	path	3
247	90	280	190	path	3
248	90	342	252	path	3
249	91	391	300	path	3
250	91	223	132	new	3
251	92	362	270	path	3
252	92	260	168	new	3
253	92	225	133	new	3
254	92	365	273	path	3
255	92	273	181	new	3
256	93	334	241	path	3
257	93	247	154	new	3
258	93	299	206	new	3
259	94	290	196	path	3
