epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	17	31	15	12	SW	nan	1	15	1.0	3.6	0.2571428571428571	0
50	49	95	47	35	SW	nan	1	47	1.0	4.851063829787234	0.10545790934320073	0
75	65	127	63	51	SW	nan	1	63	1.0	5.26984126984127	0.08499743983614952	0
100	78	153	76	64	SW	nan	1	76	1.0	5.526315789473684	0.07368421052631578	0
125	99	195	97	73	SW	nan	1	97	1.0	5.319587628865979	0.055412371134020616	0
150	125	247	123	101	SW	nan	1	123	1.0	5.008130081300813	0.041050246568039454	0
175	164	325	162	121	SW	nan	2	160	1.0	4.6125	0.02900943396226415	0
200	190	377	188	152	SW	nan	1	185	0.9945945945945946	4.410810810810811	0.023971797884841363	0
225	216	429	214	174	SW	nan	2	209	0.9760765550239234	4.3349282296650715	0.020841001104159	0
250	266	529	264	202	SW	nan	2	254	0.9133858267716536	3.952755905511811	0.015623541128505182	0
275	346	689	344	267	SW	nan	2	328	0.8414634146341463	3.902439024390244	0.011934064294771387	0
300	352	701	350	275	SW	nan	2	323	0.7306501547987616	3.6037151702786376	0.011191662019498875	0
325	382	761	380	285	SW	nan	3	342	0.672514619883041	3.426900584795322	0.010049561832244345	0
350	415	825	411	299	SW	nan	2	354	0.2542372881355932	3.056497175141243	0.008658632224196156	0
375	425	843	419	308	SW	nan	2	348	0.12643678160919541	2.8275862068965516	0.008148663420451157	0
400	425	840	416	286	SW	nan	2	322	0.13975155279503104	2.701863354037267	0.00841701979450862	0
425	442	873	432	298	METR	3.9325268431100056	4	331	0.12386706948640483	2.694864048338369	0.00816625469193445	0
450	563	1111	549	365	METR	3.4568093160565416	4	444	0.1373873873873874	2.9234234234234235	0.006599149940007728	0
475	630	1246	617	416	METR	4.6101912199557695	4	490	0.1326530612244898	2.7877551020408164	0.005700930679020074	0
500	712	1407	696	486	METR	3.937355287082647	4	561	0.13368983957219252	2.71301247771836	0.004844665138782786	0
525	879	1739	861	625	METR	4.020335727600923	4	714	0.14985994397759103	2.9215686274509802	0.0040975717075048814	0
550	947	1874	928	694	METR	4.308365589258863	4	781	0.147247119078105	3.0089628681177976	0.003857644702715125	0
575	1052	2082	1031	743	METR	4.485852435846052	4	851	0.10693301997649823	2.9048178613396005	0.0034174327780465887	0
600	1032	2037	1006	719	SW	nan	3	819	0.1111111111111111	2.8058608058608057	0.003430147684426413	0
625	1005	1977	973	694	SW	nan	3	778	0.11053984575835475	2.7403598971722367	0.003526846714507383	0
650	983	1926	944	656	SW	nan	3	717	0.05439330543933055	2.5355648535564854	0.0035412916949112924	0
675	991	1931	941	599	METR	4.413595404162869	4	654	0.05657492354740061	2.3180428134556577	0.003549835855215402	0
700	982	1900	919	526	METR	4.127907249161211	4	584	0.06335616438356165	2.1883561643835616	0.003753612631875749	0
725	877	1685	809	429	METR	3.9068083032890653	5	443	0.04966139954853273	1.7697516930022574	0.004003963106339949	0
750	801	1523	723	413	METR	4.090186240103767	4	383	0.04960835509138381	1.608355091383812	0.004210353642366	0
775	695	1311	617	380	METR	4.012067408933756	4	328	0.024390243902439025	1.3841463414634145	0.0042328634295517266	0
800	657	1235	579	355	METR	3.836462637078539	4	307	0.03257328990228013	1.3420195439739413	0.004385684784228567	0
825	653	1221	569	316	METR	3.820690149608558	4	292	0.0273972602739726	1.321917808219178	0.0045426728804782756	0
