cycle_id	birth	death	lifetime	died_by	len
264	179	344	165	new	4
265	180	342	162	path	4
266	180	327	147	new	4
267	180	323	143	new	4
268	180	365	185	new	4
269	181	376	195	path	4
270	181	463	282	new	4
271	181	376	195	path	4
272	181	213	32	path	4
273	181	368	187	path	4
274	181	356	175	new	4
275	181	317	136	path	4
276	181	317	136	new	4
277	182	316	134	new	4
278	182	401	219	path	4
279	182	315	133	new	4
280	182	267	85	path	4
281	182	354	172	path	4
282	182	330	148	new	4
283	183	330	147	path	4
284	183	354	171	new	4
285	184	320	136	new	4
286	184	327	143	new	4
287	184	272	88	path	4
288	184	495	311	path	4
289	184	386	202	path	4
290	184	443	259	new	4
291	184	318	134	new	4
292	184	360	176	new	4
293	185	446	261	new	4
294	185	259	74	path	4
295	185	236	51	path	4
296	185	251	66	path	4
297	186	268	82	path	4
298	186	322	136	new	4
299	186	490	304	new	4
300	187	224	37	path	4
301	187	323	136	path	4
302	187	574	387	new	4
303	187	272	85	path	4
304	188	345	157	path	4
305	188	241	53	path	4
306	189	343	154	new	4
307	189	323	134	path	4
308	189	332	143	new	4
309	190	364	174	new	4
310	190	323	133	path	4
311	191	362	171	new	4
312	191	397	206	new	4
313	191	303	112	path	4
314	191	325	134	new	4
315	192	355	163	new	4
316	192	365	173	path	4
317	193	312	119	path	4
318	193	431	238	new	4
319	193	371	178	path	4
320	193	254	61	path	4
321	194	382	188	path	4
322	195	460	265	path	4
323	195	373	178	path	4
324	196	251	55	path	4
325	198	436	238	new	4
326	199	268	69	path	4
327	199	352	153	new	4
328	199	373	174	path	4
329	199	373	174	new	4
330	199	412	213	path	4
331	200	372	172	path	4
332	200	267	67	path	4
333	200	254	54	path	4
334	200	298	98	path	4
335	200	271	71	path	4
336	200	330	130	path	4
337	201	262	61	path	4
338	201	384	183	path	4
339	201	259	58	path	4
340	202	269	67	path	4
341	202	436	234	path	4
342	202	455	253	new	4
343	202	272	70	path	4
344	203	268	65	path	4
345	203	444	241	new	4
346	203	456	253	path	4
347	203	221	18	path	4
348	203	401	198	path	4
349	204	252	48	path	4
350	204	467	263	path	4
351	204	422	218	new	4
352	204	385	181	new	4
353	204	374	170	new	4
354	204	403	199	new	4
355	205	345	140	path	4
356	205	456	251	path	4
357	205	244	39	path	4
358	205	414	209	new	4
359	205	286	81	path	4
360	207	467	260	new	4
361	207	396	189	path	4
362	208	401	193	new	4
363	208	307	99	path	4
364	208	314	106	path	4
365	208	329	121	path	4
366	208	574	366	path	4
367	208	342	134	new	4
368	208	267	59	path	4
369	209	262	53	path	4
370	209	354	145	new	4
371	209	286	77	path	4
372	209	209	0	path	4
373	209	286	77	path	4
374	209	582	373	path	4
375	209	351	142	new	4
376	209	358	149	new	4
377	210	391	181	new	4
378	210	404	194	new	4
379	210	498	288	path	4
380	210	323	113	path	4
381	210	347	137	path	4
382	211	440	229	new	4
383	211	423	212	new	4
384	212	371	159	path	4
385	213	342	129	path	4
386	213	384	171	new	4
387	213	264	51	path	4
388	213	267	54	path	4
389	213	397	184	new	4
390	214	407	193	new	4
391	214	252	38	path	4
392	214	286	72	path	4
393	214	405	191	new	4
394	214	319	105	path	4
395	214	262	48	path	4
396	214	392	178	path	4
397	215	474	259	new	4
398	215	385	170	new	4
399	216	303	87	path	4
400	216	246	30	path	4
401	216	486	270	path	4
402	217	351	134	new	4
403	217	217	0	path	4
404	217	311	94	path	4
405	217	380	163	new	4
406	218	381	163	new	4
407	218	460	242	path	4
408	219	423	204	new	4
409	219	353	134	new	4
410	220	345	125	path	4
411	220	367	147	new	4
412	220	236	16	path	4
413	221	286	65	path	4
414	221	674	453	path	4
415	221	225	4	path	4
416	221	264	43	path	4
417	222	602	380	path	4
418	222	267	45	path	4
419	225	465	240	path	4
420	225	267	42	path	4
421	225	412	187	path	4
422	225	428	203	new	4
423	227	446	219	path	4
424	227	401	174	path	4
425	228	400	172	new	4
426	228	300	72	path	4
427	231	417	186	new	4
428	231	399	168	path	4
429	232	365	133	path	4
430	236	449	213	new	4
431	236	409	173	path	4
432	237	253	16	path	4
433	237	241	4	path	4
434	237	381	144	path	4
435	239	244	5	path	4
436	241	388	147	new	4
437	241	394	153	path	4
438	242	397	155	path	4
439	244	413	169	path	4
440	244	395	151	new	4
441	245	400	155	path	4
442	246	409	163	new	4
443	246	413	167	new	4
444	246	374	128	path	4
445	247	511	264	path	4
446	247	365	118	path	4
447	247	645	398	path	4
448	247	415	168	new	4
449	247	443	196	new	4
450	248	329	81	path	4
451	248	374	126	path	4
452	248	403	155	new	4
453	248	437	189	new	4
454	249	377	128	path	4
455	250	600	350	new	4
456	250	296	46	path	4
457	251	411	160	new	4
458	251	251	0	path	4
459	251	251	0	path	4
460	251	385	134	new	4
461	251	346	95	path	4
462	251	252	1	path	4
463	251	392	141	new	4
464	251	385	134	new	4
465	252	267	15	path	4
466	252	279	27	path	4
467	252	405	153	new	4
468	253	459	206	path	4
469	253	329	76	path	4
470	253	311	58	path	4
471	253	279	26	path	4
472	254	373	119	path	4
473	254	373	119	path	4
474	254	388	134	new	4
475	254	444	190	new	4
476	254	429	175	new	4
477	254	473	219	path	4
478	254	453	199	path	4
479	255	459	204	new	4
480	255	451	196	new	4
481	255	264	9	path	4
482	255	345	90	path	4
483	256	496	240	path	4
484	256	459	203	path	4
485	256	467	211	new	4
486	256	320	64	path	4
487	256	365	109	path	4
488	256	511	255	path	4
489	257	259	2	path	4
490	257	706	449	path	4
491	257	299	42	path	4
492	257	474	217	new	4
493	257	257	0	path	4
494	257	393	136	new	4
495	258	494	236	path	4
496	259	306	47	path	4
497	259	417	158	path	4
498	259	425	166	new	4
499	260	303	43	path	4
500	261	448	187	path	4
501	261	338	77	path	4
