cycle_id	birth	death	lifetime	died_by	len
0	2	399	397	path	3
1	4	271	267	new	3
2	6	399	393	path	3
3	8	271	263	path	4
4	8	271	263	path	4
5	11	269	258	new	4
6	12	262	250	new	4
7	13	399	386	new	4
8	14	332	318	new	4
9	15	271	256	path	4
10	17	324	307	path	4
11	17	479	462	path	4
12	20	313	293	new	4
13	20	269	249	new	4
14	23	479	456	path	4
15	26	272	246	new	4
16	27	351	324	new	4
17	28	270	242	new	4
18	29	262	233	path	4
19	30	164	134	new	4
20	32	413	381	new	4
21	32	277	245	new	4
22	40	274	234	new	4
23	41	269	228	path	4
24	43	262	219	new	4
25	44	262	218	path	4
26	46	324	278	path	4
27	46	208	162	new	4
28	47	329	282	new	4
29	48	336	288	new	4
30	50	263	213	new	4
31	50	275	225	new	4
32	51	348	297	new	4
33	52	272	220	path	4
34	52	228	176	new	4
35	52	336	284	path	4
36	53	269	216	path	4
37	54	234	180	new	4
38	54	276	222	new	4
39	54	262	208	path	4
40	55	325	270	path	4
41	56	262	206	path	4
42	57	293	236	new	4
43	57	194	137	new	4
44	57	470	413	new	4
45	57	325	268	path	4
46	57	498	441	new	4
47	58	336	278	path	4
48	58	328	270	new	4
49	59	446	387	new	4
50	59	537	478	path	4
51	59	306	247	new	4
52	59	275	216	path	4
53	59	355	296	new	4
54	60	336	276	path	4
55	60	194	134	new	4
56	60	319	259	new	4
57	61	379	318	new	4
58	62	274	212	new	4
59	62	357	295	path	4
60	63	332	269	path	4
61	63	269	206	path	4
62	63	325	262	path	4
63	63	325	262	path	4
64	63	276	213	path	4
65	64	219	155	new	4
66	65	243	178	new	4
67	65	417	352	path	4
68	66	318	252	new	4
69	66	263	197	path	4
70	67	419	352	new	4
71	68	438	370	path	4
72	69	203	134	new	4
73	69	264	195	new	4
74	70	415	345	new	4
75	70	348	278	path	4
76	70	329	259	path	4
77	70	389	319	new	4
78	72	276	204	new	4
79	74	338	264	new	4
80	74	308	234	new	4
81	75	250	175	new	4
82	76	411	335	path	4
83	77	376	299	path	4
84	77	208	131	new	4
85	78	230	152	new	4
86	78	328	250	new	4
87	78	276	198	path	4
88	78	275	197	path	4
89	79	340	261	new	4
90	79	329	250	path	4
91	80	293	213	path	4
92	80	269	189	path	4
93	81	243	162	new	4
94	83	462	379	new	4
95	84	264	180	path	4
96	84	351	267	new	4
97	85	325	240	path	4
98	86	260	174	new	4
99	86	225	139	new	4
100	87	450	363	new	4
101	87	267	180	new	4
102	89	274	185	path	4
103	94	400	306	path	4
104	98	384	286	path	4
105	98	318	220	new	4
106	101	294	193	new	4
107	101	336	235	path	4
108	101	294	193	path	4
109	101	311	210	new	4
110	101	313	212	new	4
111	104	308	204	path	4
112	105	277	172	path	4
113	112	269	157	path	4
114	114	399	285	path	4
115	115	277	162	new	4
116	115	345	230	new	4
117	115	348	233	path	4
118	116	274	158	path	4
