epoch	V	phase	subphase	label
25	30	growth	-	SW
50	69	growth	-	SW
75	129	growth	-	SW
100	146	growth	-	SW
125	166	growth	-	SW
150	203	growth	-	SW
175	250	growth	-	SW
200	332	growth	-	SW
225	420	growth	-	SW
250	452	growth	-	SW
275	527	growth	-	SW
300	569	growth	-	SW
325	604	growth	-	SW
350	620	growth	-	SW
375	611	growth	-	SW
400	605	growth	-	SW
425	629	growth	-	METR
450	602	growth	-	METR
475	580	growth	-	METR
500	562	growth	-	METR
525	627	growth	-	METR
550	656	growth	-	METR
575	639	growth	-	METR
600	621	growth	-	METR
625	626	growth	-	METR
650	656	growth	-	METR
675	624	growth	-	METR
700	546	growth	-	METR
725	484	contraction	shedding	METR
750	482	contraction	shedding	METR
775	452	contraction	shedding	METR
800	387	contraction	shedding	METR
825	325	contraction	shedding	METR
850	290	contraction	shedding	METR
875	286	contraction	shedding	METR
900	248	contraction	shedding	METR
