epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	41	79	39	27	SW	nan	1	39	1.0	10.153846153846153	0.26720647773279355	0
50	129	255	127	94	SW	nan	1	127	1.0	12.661417322834646	0.10048743907011623	0
75	230	457	228	180	SW	nan	2	228	1.0	13.385964912280702	0.05896900842414406	0
100	324	645	322	264	SW	nan	2	322	1.0	13.807453416149068	0.043013873570557845	0
125	445	887	443	367	SW	nan	2	443	1.0	14.636568848758465	0.033114409160087024	0
150	505	1007	503	426	SW	nan	2	503	1.0	15.280318091451292	0.030438880660261538	0
175	554	1105	552	475	SW	nan	2	552	1.0	15.452898550724637	0.028045187932349613	0
200	621	1239	619	517	SW	nan	2	608	1.0	15.526315789473685	0.02557877395300442	0
225	677	1350	674	539	SW	nan	3	642	1.0	15.526479750778817	0.024222277302307044	0
250	762	1517	756	571	SW	nan	3	659	0.9984825493171472	14.573596358118362	0.022148322732702678	0
275	743	1473	731	500	SW	nan	3	492	0.975609756097561	11.292682926829269	0.022999354229794843	0
300	682	1334	653	454	SW	nan	3	379	0.9709762532981531	8.934036939313984	0.023635018357973502	0
325	649	1256	608	399	SW	nan	2	278	0.9424460431654677	6.690647482014389	0.024153962028932812	0
350	662	1289	628	391	METR	3.9444020773915685	4	250	0.884	5.984	0.024032128514056224	0
375	642	1231	590	344	METR	4.719408289725619	4	213	0.863849765258216	5.577464788732394	0.02630879617326601	0
400	592	1120	529	290	METR	5.072468638805154	4	166	0.8433734939759037	4.698795180722891	0.028477546549835708	0
425	536	993	458	267	SW	nan	3	117	0.7521367521367521	3.8974358974358974	0.03359858532272325	0
450	497	920	424	254	SW	nan	3	103	0.6310679611650486	3.3592233009708736	0.032933561774224254	0
475	496	900	405	247	METR	3.8807353101726707	4	102	0.6470588235294118	3.215686274509804	0.031838477965443604	0
500	501	893	393	241	METR	4.238381685126669	4	113	0.672566371681416	3.2920353982300883	0.029393173198482933	0
525	492	871	380	230	METR	4.352558675140846	4	122	0.7622950819672131	3.6065573770491803	0.029806259314456036	0
550	466	816	351	215	METR	4.288874397568789	4	105	0.3238095238095238	2.4761904761904763	0.023809523809523808	0
575	449	782	334	196	METR	4.42060967241949	4	81	0.2716049382716049	1.9753086419753085	0.024691358024691357	0
600	450	765	316	197	METR	4.2195564905016205	4	96	0.21875	1.8958333333333333	0.019956140350877193	0
625	441	733	293	187	METR	4.106231070546757	5	93	0.22580645161290322	2.021505376344086	0.021972884525479196	0
650	417	688	272	158	METR	4.085516291477376	4	77	0.15584415584415584	1.6103896103896105	0.021189336978810664	0
675	395	651	257	141	METR	4.122554006815285	4	75	0.16	1.5733333333333333	0.021261261261261263	0
700	360	578	219	135	METR	3.4844734719246597	4	66	0.24242424242424243	1.7272727272727273	0.026573426573426574	0
725	342	547	206	134	METR	3.571087239133216	4	62	0.22580645161290322	1.8387096774193548	0.030142781597038603	0
750	330	526	197	124	METR	3.4223210224301255	5	59	0.23728813559322035	1.8305084745762712	0.031560490940970194	0
775	325	514	190	116	METR	2.897711208866669	5	66	0.3787878787878788	3.0303030303030303	0.046620046620046623	0
800	317	503	187	126	METR	2.657241350868528	5	68	0.4117647058823529	3.323529411764706	0.04960491659350307	0
825	311	497	187	126	METR	2.3992117947538	5	75	0.5066666666666667	3.6	0.04864864864864865	0
850	322	526	205	141	METR	1.6417096804870952	6	101	0.693069306930693	5.207920792079208	0.05207920792079208	0
875	302	491	190	137	METR	1.8132383765346043	6	105	0.8571428571428571	6.038095238095238	0.05805860805860806	0
900	266	436	171	125	METR	1.6337219272770513	6	110	0.9454545454545454	6.8545454545454545	0.06288573811509592	0
