epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	36	69	34	27	SW	nan	1	34	1.0	6.352941176470588	0.1925133689839572	0
50	72	141	70	57	SW	nan	1	70	1.0	9.514285714285714	0.13788819875776398	0
75	99	195	97	74	SW	nan	2	97	1.0	10.103092783505154	0.1052405498281787	0
100	112	221	110	95	SW	nan	2	110	1.0	10.727272727272727	0.09841534612176814	0
125	171	339	169	141	SW	nan	2	169	1.0	13.029585798816568	0.07755705832628909	0
150	204	405	202	168	SW	nan	2	202	1.0	13.396039603960396	0.06664696320378306	0
175	255	507	253	210	SW	nan	2	248	1.0	13.701612903225806	0.05547211701710853	0
200	272	541	270	231	SW	nan	2	263	1.0	13.467680608365018	0.051403361100629846	0
225	278	552	275	235	SW	nan	2	242	1.0	13.041322314049587	0.05411337059771613	0
250	284	562	279	233	SW	nan	2	231	1.0	11.913419913419913	0.05179747788443441	0
275	331	655	325	251	SW	nan	3	251	0.9960159362549801	11.99203187250996	0.04796812749003984	0
300	360	712	353	247	SW	nan	3	238	0.9957983193277311	11.016806722689076	0.0464844165514307	0
325	365	715	351	236	SW	nan	3	182	0.989010989010989	7.461538461538462	0.04122396940076498	0
350	374	729	356	228	SW	nan	3	169	0.9171597633136095	6.260355029585799	0.0372640180332488	0
375	379	740	362	240	SW	nan	3	152	0.8157894736842105	5.0	0.033112582781456956	0
400	375	729	355	241	SW	nan	3	147	0.8299319727891157	4.938775510204081	0.033827229521945765	0
425	383	741	359	238	SW	nan	3	132	0.7954545454545454	4.818181818181818	0.03678001387925052	0
450	363	694	332	211	SW	nan	3	110	0.7545454545454545	3.890909090909091	0.03569641367806505	0
475	347	648	302	182	SW	nan	3	80	0.5	3.1	0.039240506329113925	0
500	318	570	253	151	SW	nan	3	62	0.5645161290322581	3.4193548387096775	0.05605499735589635	0
525	285	494	210	125	SW	nan	3	52	0.34615384615384615	2.6923076923076925	0.05279034690799397	0
550	265	452	188	117	METR	3.725196884211407	4	50	0.3	2.28	0.04653061224489796	0
575	259	436	178	114	METR	4.076159813014797	4	43	0.16279069767441862	1.1627906976744187	0.02768549280177187	0
600	247	414	168	102	METR	4.106386814373357	4	36	0.1111111111111111	0.8888888888888888	0.025396825396825397	0
625	235	387	153	93	SW	nan	3	30	0.16666666666666666	0.9333333333333333	0.03218390804597701	0
650	244	400	157	105	METR	2.8737381402235878	4	42	0.30952380952380953	1.8095238095238095	0.04413472706155633	0
675	239	391	153	104	SW	nan	3	42	0.35714285714285715	1.9047619047619047	0.04645760743321719	0
700	228	368	141	92	METR	2.8640193984266222	4	40	0.475	3.2	0.08205128205128205	0
725	217	348	132	81	SW	nan	3	34	0.4117647058823529	2.2941176470588234	0.06951871657754011	0
750	198	313	116	80	SW	nan	3	32	0.4375	2.3125	0.07459677419354839	0
775	197	311	115	83	SW	nan	3	40	0.475	2.85	0.07307692307692308	0
800	181	285	105	75	METR	3.7134193392844037	4	41	0.4878048780487805	3.1219512195121952	0.07804878048780488	0
825	173	273	101	72	SW	nan	3	38	0.5	3.1578947368421053	0.08534850640113797	0
850	165	260	96	64	SW	nan	3	30	0.5	2.3333333333333335	0.08045977011494253	0
875	162	251	90	66	SW	nan	3	35	0.42857142857142855	2.6857142857142855	0.07899159663865546	0
900	154	238	85	60	SW	nan	3	36	0.5555555555555556	3.0555555555555554	0.0873015873015873	0
