epoch	V	phase	subphase	label
25	17	growth	-	SW
50	49	growth	-	SW
75	65	growth	-	SW
100	78	growth	-	SW
125	99	growth	-	SW
150	125	growth	-	SW
175	164	growth	-	SW
200	190	growth	-	SW
225	216	growth	-	SW
250	266	growth	-	SW
275	346	growth	-	SW
300	352	growth	-	SW
325	382	growth	-	SW
350	415	growth	-	SW
375	425	growth	-	SW
400	425	growth	-	SW
425	442	growth	-	METR
450	563	growth	-	METR
475	630	growth	-	METR
500	712	growth	-	METR
525	879	growth	-	METR
550	947	growth	-	METR
575	1052	growth	-	METR
600	1032	growth	-	SW
625	1005	growth	-	SW
650	983	growth	-	SW
675	991	growth	-	METR
700	982	contraction	shedding	METR
725	877	contraction	shedding	METR
750	801	contraction	shedding	METR
775	695	contraction	shedding	METR
800	657	contraction	shedding	METR
825	653	contraction	shedding	METR
850	638	contraction	shedding	METR
875	607	contraction	shedding	METR
900	533	contraction	shedding	METR
