epoch	V	phase	subphase	label
25	35	growth	-	SW
50	74	growth	-	SW
75	83	growth	-	SW
100	98	growth	-	SW
125	146	growth	-	SW
150	160	growth	-	SW
175	168	growth	-	SW
200	181	growth	-	SW
225	210	growth	-	SW
250	245	growth	-	SW
275	284	growth	-	SW
300	296	growth	-	SW
325	339	growth	-	SW
350	375	growth	-	SW
375	366	growth	-	SW
400	362	growth	-	SW
425	376	growth	-	SW
450	381	growth	-	SW
475	360	growth	-	SW
500	376	growth	-	SW
525	385	growth	-	METR
550	352	growth	-	SW
575	337	growth	-	SW
600	353	growth	-	SW
625	392	growth	-	METR
650	411	growth	-	METR
675	409	growth	-	SW
700	408	growth	-	METR
725	444	growth	-	METR
750	467	growth	-	SW
775	467	growth	-	METR
800	467	growth	-	METR
825	480	growth	-	METR
850	518	growth	-	METR
875	542	growth	-	METR
900	528	growth	-	SW
925	507	growth	-	SW
950	492	growth	-	SW
975	495	growth	-	METR
1000	488	growth	-	METR
1025	461	growth	-	SW
1050	421	growth	-	METR
1075	401	growth	-	METR
1100	375	growth	-	METR
1125	346	growth	-	METR
1150	336	growth	-	METR
1175	300	growth	-	METR
1200	261	growth	-	METR
1225	268	growth	-	METR
1250	276	growth	-	METR
1275	260	growth	-	METR
1300	265	growth	-	METR
1325	275	growth	-	METR
1350	265	growth	-	METR
1375	250	growth	-	METR
1400	230	growth	-	METR
1425	207	growth	-	METR
1450	200	growth	-	METR
1475	235	growth	-	METR
1500	223	growth	-	METR
1525	215	growth	-	METR
1550	199	growth	-	METR
1575	183	growth	-	METR
1600	153	growth	-	METR
1625	140	growth	-	METR
1650	123	growth	-	METR
1675	110	growth	-	METR
1700	112	growth	-	METR
1725	118	growth	-	METR
1750	99	growth	-	METR
1775	104	growth	-	METR
1800	103	growth	-	METR
1825	102	growth	-	METR
1850	98	growth	-	METR
1875	93	growth	-	METR
1900	99	growth	-	METR
1925	98	growth	-	METR
1950	107	growth	-	METR
1975	109	growth	-	METR
2000	122	growth	-	METR
2025	116	growth	-	METR
2050	113	growth	-	METR
2075	112	growth	-	METR
2100	111	growth	-	METR
2125	142	growth	-	METR
2150	173	growth	-	METR
2175	200	growth	-	SW
2200	196	growth	-	SW
2225	206	growth	-	SW
2250	240	growth	-	METR
2275	341	growth	-	SW
2300	353	growth	-	SW
2325	344	growth	-	SW
2350	338	growth	-	SW
2375	348	growth	-	SW
2400	380	growth	-	SW
2425	417	growth	-	METR
2450	419	growth	-	SW
2475	434	growth	-	METR
2500	419	growth	-	METR
2525	464	growth	-	METR
2550	456	growth	-	METR
2575	486	growth	-	METR
2600	474	growth	-	SW
2625	448	growth	-	SW
2650	460	growth	-	SW
2675	521	growth	-	METR
2700	638	growth	-	METR
2725	757	growth	-	METR
2750	805	growth	-	METR
2775	793	growth	-	METR
2800	778	growth	-	METR
2825	867	growth	-	METR
2850	1018	growth	-	METR
2875	1058	growth	-	METR
2900	1017	growth	-	METR
2925	1007	growth	-	METR
2950	960	contraction	shedding	METR
2975	948	contraction	shedding	METR
3000	949	contraction	shedding	METR
3025	837	contraction	shedding	METR
3050	774	contraction	shedding	METR
3075	725	contraction	shedding	METR
3100	639	contraction	shedding	METR
3125	571	contraction	shedding	METR
3150	546	contraction	shedding	METR
3175	510	contraction	shedding	METR
3200	498	contraction	shedding	METR
3225	487	contraction	shedding	METR
3250	486	contraction	shedding	METR
3275	449	contraction	shedding	METR
3300	417	contraction	shedding	METR
3325	362	contraction	shedding	METR
3350	282	contraction	shedding	METR
3375	255	contraction	shedding	METR
3400	271	contraction	shedding	METR
3425	322	contraction	shedding	METR
3450	302	contraction	consolidation	METR
3475	291	contraction	consolidation	METR
3500	283	contraction	consolidation	METR
3525	261	contraction	consolidation	SW
3550	263	contraction	consolidation	SW
3575	228	contraction	consolidation	SW
3600	208	contraction	consolidation	SW
3625	169	contraction	consolidation	METR
3650	146	contraction	consolidation	METR
3675	124	contraction	consolidation	METR
3700	115	contraction	consolidation	METR
3725	115	contraction	consolidation	METR
3750	99	contraction	consolidation	METR
3775	100	contraction	consolidation	METR
3800	86	contraction	consolidation	METR
3825	83	contraction	consolidation	METR
3850	82	growth	-	SW
3875	117	growth	-	SW
3900	163	growth	-	METR
3925	317	growth	-	SW
3950	350	growth	-	SW
3975	360	growth	-	SW
4000	389	growth	-	SW
