epoch	V	phase	subphase	label
25	28	growth	-	SW
50	72	growth	-	SW
75	108	growth	-	SW
100	164	growth	-	SW
125	256	growth	-	SW
150	305	growth	-	SW
175	343	growth	-	SW
200	361	growth	-	SW
225	446	growth	-	SW
250	471	growth	-	SW
275	517	growth	-	SW
300	534	growth	-	SW
325	571	growth	-	SW
350	615	growth	-	SW
375	615	growth	-	SW
400	614	growth	-	SW
425	631	growth	-	SW
450	601	growth	-	SW
475	587	growth	-	SW
500	585	growth	-	METR
525	595	growth	-	METR
550	559	growth	-	SW
575	547	growth	-	SW
600	553	growth	-	METR
625	602	growth	-	METR
650	648	growth	-	METR
675	773	growth	-	METR
700	768	growth	-	METR
725	733	growth	-	SW
750	707	growth	-	SW
775	679	contraction	shedding	SW
800	644	contraction	shedding	METR
825	568	contraction	shedding	SW
850	469	contraction	shedding	METR
875	382	contraction	shedding	METR
900	356	contraction	shedding	METR
925	397	contraction	consolidation	METR
950	472	contraction	consolidation	METR
975	480	contraction	consolidation	METR
1000	437	contraction	consolidation	METR
1025	430	contraction	consolidation	METR
1050	414	contraction	consolidation	METR
1075	410	contraction	consolidation	METR
1100	449	contraction	consolidation	METR
1125	542	growth	-	METR
1150	549	growth	-	METR
1175	582	growth	-	METR
1200	681	growth	-	METR
1225	765	growth	-	METR
1250	874	growth	-	METR
1275	1011	growth	-	METR
1300	998	growth	-	METR
1325	1018	growth	-	METR
1350	977	growth	-	METR
1375	1006	contraction	consolidation	METR
1400	906	contraction	consolidation	METR
1425	790	contraction	consolidation	METR
1450	691	contraction	consolidation	METR
1475	688	contraction	consolidation	METR
1500	674	contraction	consolidation	METR
1525	589	contraction	consolidation	METR
1550	554	contraction	consolidation	METR
1575	526	contraction	consolidation	METR
1600	479	contraction	consolidation	METR
1625	438	contraction	consolidation	METR
1650	393	contraction	consolidation	METR
1675	381	contraction	consolidation	METR
1700	381	contraction	consolidation	METR
1725	389	contraction	consolidation	METR
1750	393	contraction	consolidation	METR
1775	385	contraction	consolidation	METR
1800	361	contraction	consolidation	METR
1825	331	contraction	consolidation	METR
1850	319	contraction	consolidation	METR
1875	272	contraction	consolidation	METR
1900	239	contraction	consolidation	METR
1925	187	contraction	consolidation	METR
1950	185	contraction	consolidation	METR
1975	191	contraction	consolidation	METR
2000	166	contraction	consolidation	METR
2025	148	contraction	consolidation	METR
2050	132	contraction	consolidation	METR
2075	137	contraction	consolidation	METR
2100	136	contraction	consolidation	METR
2125	126	contraction	consolidation	METR
2150	102	contraction	consolidation	METR
2175	101	contraction	consolidation	METR
2200	105	contraction	consolidation	METR
2225	126	contraction	shedding	METR
2250	164	contraction	shedding	METR
2275	169	contraction	shedding	METR
2300	182	contraction	shedding	METR
2325	187	contraction	shedding	METR
2350	195	contraction	shedding	METR
2375	222	contraction	shedding	METR
2400	238	contraction	shedding	METR
2425	242	contraction	shedding	METR
2450	333	contraction	shedding	METR
2475	350	contraction	shedding	METR
2500	345	contraction	shedding	METR
2525	343	contraction	shedding	METR
2550	330	contraction	shedding	METR
2575	326	contraction	shedding	METR
2600	336	contraction	shedding	METR
2625	276	contraction	shedding	METR
2650	250	contraction	shedding	METR
2675	252	contraction	shedding	METR
2700	246	contraction	shedding	METR
2725	264	contraction	shedding	METR
2750	251	contraction	shedding	FRAG
2775	181	contraction	shedding	SW
2800	157	contraction	consolidation	SW
2825	160	contraction	consolidation	SW
2850	185	contraction	consolidation	SW
2875	270	contraction	consolidation	SW
2900	287	contraction	consolidation	SW
2925	316	contraction	consolidation	SW
2950	328	contraction	consolidation	SW
2975	327	growth	-	SW
3000	369	growth	-	METR
3025	469	growth	-	SW
3050	470	growth	-	SW
3075	437	growth	-	SW
3100	421	growth	-	SW
3125	408	growth	-	METR
3150	395	growth	-	METR
3175	370	growth	-	SW
3200	339	growth	-	METR
3225	325	growth	-	SW
3250	396	growth	-	METR
3275	443	growth	-	METR
3300	478	growth	-	METR
3325	468	growth	-	METR
3350	470	growth	-	METR
3375	526	growth	-	METR
3400	546	growth	-	METR
3425	526	growth	-	METR
3450	468	contraction	shedding	METR
3475	421	contraction	shedding	METR
3500	380	contraction	shedding	SW
3525	331	contraction	shedding	METR
3550	267	contraction	shedding	METR
3575	262	contraction	shedding	METR
3600	253	contraction	shedding	METR
3625	256	contraction	shedding	METR
3650	226	contraction	shedding	METR
3675	204	contraction	shedding	METR
3700	260	contraction	shedding	METR
3725	310	contraction	shedding	METR
3750	295	contraction	shedding	METR
3775	294	contraction	shedding	METR
3800	288	contraction	shedding	METR
3825	297	contraction	shedding	METR
3850	324	contraction	shedding	METR
3875	323	contraction	shedding	METR
3900	327	contraction	shedding	METR
3925	305	contraction	shedding	SW
3950	301	contraction	shedding	SW
3975	310	contraction	shedding	SW
4000	305	contraction	shedding	METR
