epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	17	31	15	13	SW	nan	1	15	1.0	5.466666666666667	0.3904761904761905	0
50	32	61	30	26	SW	nan	1	30	1.0	7.466666666666667	0.2574712643678161	0
75	83	163	81	67	SW	nan	1	81	1.0	10.246913580246913	0.12808641975308643	0
100	108	213	106	91	SW	nan	2	106	1.0	10.584905660377359	0.10080862533692722	0
125	137	271	135	118	SW	nan	2	135	1.0	11.511111111111111	0.08590381426202322	0
150	195	387	193	169	SW	nan	2	193	1.0	12.0	0.0625	0
175	243	483	241	215	SW	nan	3	240	1.0	12.55	0.052510460251046026	0
200	307	611	305	263	SW	nan	3	302	1.0	13.23841059602649	0.043981430551583024	0
225	380	757	378	320	SW	nan	3	369	1.0	14.086720867208673	0.03827913279132791	0
250	416	829	414	348	SW	nan	3	395	1.0	13.924050632911392	0.03534023003277003	0
275	450	897	448	365	SW	nan	2	371	1.0	12.102425876010782	0.03270925912435346	0
300	481	959	479	377	SW	nan	3	356	0.9887640449438202	11.213483146067416	0.031587276467795536	0
325	493	981	489	375	SW	nan	3	323	0.9690402476780186	9.56656346749226	0.029709824433205776	0
350	480	952	473	327	SW	nan	3	233	0.927038626609442	6.351931330472103	0.027379014355483202	0
375	466	921	456	293	SW	nan	2	196	0.9132653061224489	4.959183673469388	0.02543171114599686	0
400	466	910	445	260	SW	nan	3	153	0.803921568627451	3.764705882352941	0.02476780185758514	0
425	438	839	402	226	SW	nan	3	106	0.6698113207547169	2.830188679245283	0.026954177897574125	0
450	409	767	359	204	SW	nan	3	97	0.6185567010309279	3.134020618556701	0.03264604810996564	0
475	384	711	328	197	METR	4.570256089565757	4	80	0.2375	2.55	0.032278481012658226	0
500	385	708	324	197	METR	4.560212970323025	4	77	0.16883116883116883	2.0779220779220777	0.02734107997265892	0
525	403	733	331	208	SW	nan	3	84	0.14285714285714285	1.9523809523809523	0.023522662076878944	0
550	391	701	311	186	METR	4.837289151978307	4	73	0.1095890410958904	1.7808219178082192	0.024733637747336376	0
575	372	656	285	163	METR	4.536747283985859	4	63	0.09523809523809523	1.4603174603174602	0.023553507424475168	0
600	369	636	268	170	METR	4.329711768429319	4	66	0.10606060606060606	1.4848484848484849	0.022843822843822845	0
625	337	576	240	156	METR	4.284013052694521	4	57	0.12280701754385964	1.4035087719298245	0.02506265664160401	0
650	344	580	237	155	METR	3.847154097266039	4	69	0.18840579710144928	1.7971014492753623	0.026427962489343565	0
675	364	618	255	173	METR	3.9963942260161054	5	87	0.27586206896551724	1.839080459770115	0.021384656508954825	0
700	362	613	252	171	METR	4.167000820196698	4	86	0.19767441860465115	1.7209302325581395	0.02024623803009576	0
725	364	613	250	167	METR	3.832277528883693	4	88	0.20454545454545456	2.0454545454545454	0.023510971786833857	0
750	371	624	254	171	METR	3.990145240854393	4	97	0.20618556701030927	2.3092783505154637	0.024054982817869417	0
775	375	635	261	173	SW	nan	3	110	0.4090909090909091	2.7818181818181817	0.025521267723102585	0
800	382	650	269	192	METR	3.0598312453020737	4	119	0.5042016806722689	3.5126050420168067	0.029767839339125482	0
825	360	605	246	167	METR	3.8592359382462535	4	106	0.4716981132075472	3.509433962264151	0.033423180592991916	0
850	327	550	224	153	METR	3.6550903133379022	4	100	0.44	3.7	0.03737373737373737	0
875	294	492	199	136	SW	nan	3	90	0.4222222222222222	3.888888888888889	0.04369538077403246	0
900	314	536	223	151	METR	2.6179752205497637	5	118	0.3474576271186441	4.322033898305085	0.03694046066927423	0
