epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
25	30	57	28	20	SW	nan	1	28	1.0	7.857142857142857	0.291005291005291	0
50	69	135	67	48	SW	nan	1	67	1.0	9.194029850746269	0.13930348258706468	0
75	129	255	127	102	SW	nan	2	127	1.0	10.614173228346457	0.08423947006624172	0
100	146	289	144	116	SW	nan	2	144	1.0	10.833333333333334	0.07575757575757576	0
125	166	329	164	137	SW	nan	2	164	1.0	10.963414634146341	0.0672602124794254	0
150	203	403	201	167	SW	nan	2	201	1.0	11.233830845771145	0.05616915422885572	0
175	250	497	248	207	SW	nan	2	248	1.0	11.419354838709678	0.046232205824735535	0
200	332	661	330	270	SW	nan	3	324	1.0	12.12962962962963	0.03755303290907006	0
225	420	837	418	335	SW	nan	3	392	1.0	12.28061224489796	0.03140821546009708	0
250	452	900	449	367	SW	nan	3	400	0.9975	11.65	0.02919799498746867	0
275	527	1049	523	401	SW	nan	3	375	0.9893333333333333	9.338666666666667	0.024969696969696968	0
300	569	1132	564	435	SW	nan	3	368	0.970108695652174	7.9728260869565215	0.02172432176282431	0
325	604	1202	599	426	SW	nan	3	333	0.93993993993994	6.918918918918919	0.020840117225659396	0
350	620	1229	610	412	SW	nan	3	299	0.882943143812709	6.247491638795987	0.020964737042939552	0
375	611	1209	599	390	SW	nan	3	261	0.8850574712643678	5.501915708812261	0.02116121426466254	0
400	605	1183	579	371	SW	nan	3	238	0.8739495798319328	5.495798319327731	0.023189022444420806	0
425	629	1215	587	360	METR	4.8539040735784855	4	231	0.8701298701298701	5.35064935064935	0.02326369282891022	0
450	602	1140	539	346	METR	5.251468859341257	4	198	0.7828282828282829	5.242424242424242	0.026611290570681432	0
475	580	1086	507	316	METR	4.854661998371087	4	157	0.31210191082802546	3.8089171974522293	0.024416135881104035	0
500	562	1044	483	313	METR	4.808729171941084	4	153	0.30718954248366015	3.4379084967320264	0.02261781905744754	0
525	627	1172	546	366	METR	4.585064868845871	4	192	0.4270833333333333	2.96875	0.015543193717277488	0
550	656	1223	568	384	METR	4.929804245271374	4	201	0.3781094527363184	2.9353233830845773	0.014676616915422885	0
575	639	1177	539	365	METR	4.9089848943849	4	183	0.2185792349726776	2.830601092896175	0.015552753257671291	0
600	621	1140	520	340	METR	4.416634465794844	4	172	0.23255813953488372	2.7906976744186047	0.016319869441044473	0
625	626	1134	509	324	METR	4.107322378394096	4	159	0.27044025157232704	2.742138364779874	0.017355306106201736	0
650	656	1186	531	324	METR	4.433486748178645	4	172	0.27325581395348836	2.627906976744186	0.015367877056983545	0
675	624	1091	468	282	METR	4.373567254010456	5	146	0.3835616438356164	2.767123287671233	0.01908360888049126	0
700	546	917	372	226	METR	4.657475347792724	4	108	0.1574074074074074	2.3703703703703702	0.02215299411561094	0
725	484	800	317	201	METR	4.111966919921908	4	88	0.17045454545454544	2.022727272727273	0.023249738766980145	0
750	482	801	320	206	METR	3.329997278889987	4	99	0.25252525252525254	2.727272727272727	0.027829313543599257	0
775	452	736	285	181	METR	3.387858862624837	4	91	0.2857142857142857	2.967032967032967	0.03296703296703297	0
800	387	610	224	130	METR	3.7052298783080997	4	66	0.3939393939393939	2.8484848484848486	0.04382284382284382	0
825	325	509	185	112	METR	3.2728867896872558	4	50	0.5	3.08	0.06285714285714286	0
850	290	456	167	103	METR	3.536385935037025	4	40	0.25	1.7	0.04358974358974359	0
875	286	448	163	93	METR	3.0308397825862734	4	45	0.15555555555555556	1.7333333333333334	0.03939393939393939	0
900	248	372	125	78	METR	3.1577979595123926	4	40	0.275	1.55	0.03974358974358974	0
