epoch	V	phase	subphase	label
25	35	growth	-	SW
50	74	growth	-	SW
75	83	growth	-	SW
100	98	growth	-	SW
125	146	growth	-	SW
150	160	growth	-	SW
175	168	growth	-	SW
200	181	growth	-	SW
225	210	growth	-	SW
250	245	growth	-	SW
275	284	growth	-	SW
300	296	growth	-	SW
325	339	growth	-	SW
350	375	growth	-	SW
375	366	growth	-	SW
400	362	growth	-	SW
425	376	growth	-	SW
450	381	growth	-	SW
475	360	growth	-	SW
500	376	growth	-	SW
525	385	growth	-	METR
550	352	growth	-	SW
575	337	growth	-	SW
600	353	growth	-	SW
625	392	growth	-	METR
650	411	growth	-	METR
675	409	growth	-	SW
700	408	growth	-	METR
725	444	growth	-	METR
750	467	growth	-	SW
775	467	growth	-	METR
800	467	growth	-	METR
825	480	growth	-	METR
850	518	growth	-	METR
875	542	growth	-	METR
900	528	growth	-	SW
