epoch	V	phase	subphase	label
25	17	growth	-	SW
50	32	growth	-	SW
75	83	growth	-	SW
100	108	growth	-	SW
125	137	growth	-	SW
150	195	growth	-	SW
175	243	growth	-	SW
200	307	growth	-	SW
225	380	growth	-	SW
250	416	growth	-	SW
275	450	growth	-	SW
300	481	growth	-	SW
325	493	growth	-	SW
350	480	growth	-	SW
375	466	growth	-	SW
400	466	growth	-	SW
425	438	growth	-	SW
450	409	growth	-	SW
475	384	growth	-	METR
500	385	growth	-	METR
525	403	growth	-	SW
550	391	growth	-	METR
575	372	growth	-	METR
600	369	growth	-	METR
625	337	growth	-	METR
650	344	growth	-	METR
675	364	growth	-	METR
700	362	growth	-	METR
725	364	growth	-	METR
750	371	growth	-	METR
775	375	growth	-	SW
800	382	growth	-	METR
825	360	growth	-	METR
850	327	growth	-	METR
875	294	growth	-	SW
900	314	growth	-	METR
