epoch	V	phase	subphase	label
25	19	growth	-	SW
50	55	growth	-	SW
75	110	growth	-	SW
100	117	growth	-	SW
125	129	growth	-	SW
150	210	growth	-	SW
175	256	growth	-	SW
200	277	growth	-	SW
225	327	growth	-	SW
250	429	growth	-	SW
275	488	growth	-	SW
300	520	growth	-	SW
325	536	growth	-	SW
350	577	growth	-	SW
375	589	growth	-	SW
400	578	growth	-	SW
425	558	growth	-	SW
450	555	growth	-	METR
475	551	growth	-	METR
500	547	growth	-	SW
525	527	growth	-	SW
550	499	growth	-	SW
575	493	growth	-	METR
600	476	growth	-	METR
625	427	contraction	shedding	METR
650	386	contraction	shedding	METR
675	355	contraction	shedding	METR
700	326	contraction	shedding	SW
725	317	contraction	shedding	SW
750	289	contraction	shedding	METR
775	251	contraction	shedding	METR
800	217	contraction	shedding	SW
825	203	contraction	shedding	SW
850	196	contraction	shedding	METR
875	195	contraction	shedding	METR
900	183	contraction	shedding	METR
