epoch	V	phase	subphase	label
25	36	growth	-	SW
50	72	growth	-	SW
75	99	growth	-	SW
100	112	growth	-	SW
125	171	growth	-	SW
150	204	growth	-	SW
175	255	growth	-	SW
200	272	growth	-	SW
225	278	growth	-	SW
250	284	growth	-	SW
275	331	growth	-	SW
300	360	growth	-	SW
325	365	growth	-	SW
350	374	growth	-	SW
375	379	growth	-	SW
400	375	growth	-	SW
425	383	growth	-	SW
450	363	growth	-	SW
475	347	contraction	shedding	SW
500	318	contraction	shedding	SW
525	285	contraction	shedding	SW
550	265	contraction	shedding	METR
575	259	contraction	shedding	METR
600	247	contraction	shedding	METR
625	235	contraction	shedding	SW
650	244	contraction	shedding	METR
675	239	contraction	shedding	SW
700	228	contraction	shedding	METR
725	217	contraction	shedding	SW
750	198	contraction	shedding	SW
775	197	contraction	shedding	SW
800	181	contraction	shedding	METR
825	173	contraction	shedding	SW
850	165	contraction	shedding	SW
875	162	contraction	shedding	SW
900	154	contraction	shedding	SW
